nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,DY,WWss,multi-top,VVV,Single t,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,28,28.673 ± 1.807,6.911 ± 0.429,8.278 ± 0.549,6.444 ± 0.976,2.241 ± 1.298,2.127 ± 0.132,0.957 ± 0.062,1.075 ± 0.239,0.239 ± 0.239,0.205 ± 0.094,0.195 ± 0.019,0.000 ± 0.000,0.000,0.659,0.038,0.000,0.000,0.000,0.000,8.998,1.207,0.208,0.000,0.005,0.000,0.000
5,1263,1263.032 ± 33.293,296.648 ± 2.875,367.490 ± 3.788,203.509 ± 5.265,201.573 ± 31.594,68.239 ± 0.772,35.320 ± 0.388,23.935 ± 1.118,32.661 ± 2.896,18.747 ± 1.239,6.558 ± 0.112,8.351 ± 6.925,481.651,38.650,7.850,0.881,0.033,0.002,12.965,519.329,65.540,13.616,1.762,0.296,0.003,0.000
6,1281,1281.668 ± 26.542,345.386 ± 3.130,332.094 ± 3.574,240.267 ± 5.870,161.444 ± 25.245,84.635 ± 0.865,37.029 ± 0.401,28.115 ± 1.214,27.000 ± 2.470,19.271 ± 1.222,5.828 ± 0.106,0.598 ± 0.333,526.226,39.052,18.493,4.379,0.192,0.012,59.249,585.429,61.324,31.192,6.899,1.170,0.019,101.128
7,869,869.059 ± 31.749,238.776 ± 2.667,142.125 ± 2.272,164.629 ± 4.837,154.422 ± 31.046,82.469 ± 0.862,22.814 ± 0.322,28.402 ± 1.221,19.786 ± 2.257,12.743 ± 0.991,2.704 ± 0.072,0.189 ± 0.097,114.367,25.589,24.385,13.632,3.017,0.682,8655.877,253.327,38.600,39.778,22.859,3.958,1.363,18418.995
Total,3442.432,3442.432 ± 53.142,887.722 ± 5.036,849.987 ± 5.708,614.849 ± 9.302,519.680 ± 51.001,237.470 ± 1.451,96.120 ± 0.647,81.527 ± 2.066,79.686 ± 4.432,50.967 ± 2.005,15.285 ± 0.171,9.139 ± 6.933,1122.244,103.949,50.766,18.892,3.243,0.696,8728.091,1367.082,166.671,84.794,31.520,5.429,1.386,18520.123
