nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,WWss,VVV,multi-top,DY,Single t,Z#gamma,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.331 ± 0.364,0.623 ± 0.116,0.618 ± 0.151,0.659 ± 0.296,0.192 ± 0.038,0.145 ± 0.084,0.078 ± 0.017,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.017 ± 0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.113,0.000,0.000,0.000,0.000,0.000
5,68,68.002 ± 3.784,19.348 ± 0.673,20.549 ± 0.882,10.682 ± 1.210,5.242 ± 0.197,1.625 ± 0.272,2.357 ± 0.090,4.476 ± 3.165,1.742 ± 0.699,0.597 ± 0.220,0.975 ± 0.975,0.409 ± 0.028,13.132,4.737,0.729,0.031,0.002,0.000,0.000,53.362,3.719,0.440,0.059,0.006,0.000,0.000
6,66,66.900 ± 1.849,22.063 ± 0.742,20.698 ± 0.881,11.112 ± 1.287,6.443 ± 0.220,2.335 ± 0.343,2.201 ± 0.082,0.000 ± 0.000,1.012 ± 0.463,0.656 ± 0.219,0.000 ± 0.000,0.381 ± 0.027,32.546,4.161,1.699,0.581,0.038,0.002,11.712,36.398,3.135,1.163,0.252,0.021,0.001,5.979
7,43,43.497 ± 1.535,14.990 ± 0.618,9.177 ± 0.568,8.511 ± 1.126,6.166 ± 0.215,2.042 ± 0.332,1.308 ± 0.055,0.000 ± 0.000,0.971 ± 0.462,0.146 ± 0.104,0.013 ± 0.013,0.173 ± 0.019,24.358,2.683,3.023,1.569,0.406,0.095,1218.057,12.796,1.752,1.260,0.631,0.097,0.024,395.239
Total,180.730,180.730 ± 4.498,57.024 ± 1.183,51.042 ± 1.378,30.964 ± 2.116,18.042 ± 0.367,6.146 ± 0.556,5.944 ± 0.135,4.476 ± 3.165,3.724 ± 0.957,1.399 ± 0.327,0.989 ± 0.975,0.980 ± 0.044,70.036,11.581,5.451,2.181,0.446,0.097,1229.769,102.556,8.720,2.864,0.942,0.124,0.026,401.219
