nbin,nData,TotalBkg,WWss,t#bar{t}+x,W+jets/#gamma,VV,DY,VVV,Single t,QCD,multi-top,Z#gamma,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.183 ± 0.085,0.006 ± 0.005,0.047 ± 0.035,0.049 ± 0.049,0.018 ± 0.012,0.000 ± 0.000,0.001 ± 0.001,0.059 ± 0.059,0.000 ± 0.000,0.003 ± 0.002,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,11,11.098 ± 1.625,1.181 ± 0.068,4.463 ± 0.467,2.073 ± 0.606,0.875 ± 0.103,1.419 ± 1.419,0.355 ± 0.044,0.440 ± 0.147,0.000 ± 0.000,0.147 ± 0.019,0.145 ± 0.061,0.001 ± 0.001,4.100,0.620,0.134,0.024,0.002,0.000,0.000,1.543,0.292,0.048,0.000,0.002,0.000,0.000
6,14,14.789 ± 1.541,4.009 ± 0.125,3.100 ± 0.388,3.073 ± 0.635,1.514 ± 0.154,0.855 ± 0.855,0.545 ± 0.058,0.249 ± 0.070,1.019 ± 1.019,0.249 ± 0.027,0.176 ± 0.052,0.000 ± 0.000,7.300,0.747,0.399,0.123,0.004,0.000,0.000,8.143,0.546,0.161,0.011,0.003,0.000,1.382
7,13,13.911 ± 0.652,6.801 ± 0.162,1.976 ± 0.299,2.651 ± 0.523,1.105 ± 0.127,0.000 ± 0.000,0.548 ± 0.056,0.398 ± 0.113,0.000 ± 0.000,0.232 ± 0.025,0.199 ± 0.058,0.001 ± 0.001,0.000,0.573,0.681,0.360,0.099,0.021,286.711,4.628,0.482,0.178,0.153,0.019,0.005,68.955
Total,39.981,39.981 ± 2.334,11.998 ± 0.216,9.586 ± 0.678,7.845 ± 1.023,3.511 ± 0.225,2.274 ± 1.657,1.448 ± 0.092,1.145 ± 0.207,1.019 ± 1.019,0.631 ± 0.041,0.520 ± 0.099,0.003 ± 0.001,11.399,1.939,1.214,0.507,0.104,0.022,286.711,14.313,1.320,0.388,0.164,0.024,0.005,70.337
