nbin,nData,TotalBkg,t#bar{t}+x,WWss,VV,VVV,multi-top,W+jets/#gamma,Single t,Z#gamma,Higgs,QCD,DY,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.114 ± 0.039,0.043 ± 0.037,0.048 ± 0.007,0.007 ± 0.005,0.014 ± 0.007,0.002 ± 0.001,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,4,4.619 ± 0.342,2.107 ± 0.288,1.056 ± 0.035,0.458 ± 0.058,0.264 ± 0.035,0.179 ± 0.014,0.295 ± 0.149,0.150 ± 0.054,0.108 ± 0.052,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,4.526,0.582,0.146,0.014,0.001,0.000,1.196,1.204,0.055,0.000,0.004,0.000,0.000,0.000
6,5,5.106 ± 0.319,2.126 ± 0.290,1.322 ± 0.039,0.716 ± 0.070,0.368 ± 0.040,0.224 ± 0.015,0.102 ± 0.047,0.154 ± 0.068,0.094 ± 0.050,0.001 ± 0.001,0.000 ± 0.000,0.000 ± 0.000,8.019,0.864,0.393,0.099,0.003,0.000,2.243,1.175,0.056,0.022,0.005,0.001,0.000,0.000
7,4,4.642 ± 0.271,1.227 ± 0.203,1.584 ± 0.042,0.667 ± 0.069,0.471 ± 0.046,0.219 ± 0.015,0.150 ± 0.060,0.225 ± 0.131,0.095 ± 0.052,0.004 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,3.556,0.650,0.587,0.339,0.071,0.016,179.216,2.420,0.000,0.051,0.011,0.005,0.002,16.586
Total,14.482,14.482 ± 0.542,5.504 ± 0.458,4.010 ± 0.068,1.848 ± 0.115,1.117 ± 0.071,0.625 ± 0.026,0.547 ± 0.167,0.529 ± 0.157,0.298 ± 0.089,0.005 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,16.101,2.107,1.126,0.453,0.076,0.016,182.655,4.798,0.110,0.073,0.020,0.006,0.002,16.586
