nbin,nData,TotalBkg,t#bar{t}+x,VV,W+jets/#gamma,DY,WWss,Z#gamma,VVV,Single t,multi-top,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,38,38.104 ± 2.287,10.268 ± 0.618,7.462 ± 0.435,7.899 ± 1.061,5.550 ± 1.828,2.734 ± 0.139,1.169 ± 0.179,1.329 ± 0.241,0.318 ± 0.246,1.041 ± 0.063,0.195 ± 0.019,0.140 ± 0.140,0.000,0.930,0.038,0.000,0.000,0.000,0.000,8.998,1.298,0.264,0.000,0.005,0.000,0.000
5,1582,1582.991 ± 34.050,478.453 ± 4.406,320.683 ± 2.921,254.460 ± 5.718,263.555 ± 32.214,95.528 ± 0.831,42.851 ± 1.449,31.875 ± 1.134,41.086 ± 2.969,39.472 ± 0.397,6.606 ± 0.112,8.421 ± 6.925,553.381,49.510,10.246,1.185,0.056,0.002,22.245,612.582,83.710,18.334,2.329,0.392,0.004,0.000
6,1709,1709.807 ± 27.600,457.019 ± 4.307,381.255 ± 3.199,316.420 ± 6.280,230.822 ± 26.071,149.490 ± 1.001,42.368 ± 1.406,40.354 ± 1.238,39.879 ± 2.584,43.034 ± 0.413,5.891 ± 0.107,3.276 ± 1.584,756.800,54.144,25.100,6.213,0.252,0.013,76.643,757.708,84.379,43.066,9.392,1.619,0.029,119.378
7,1275,1275.289 ± 32.670,215.752 ± 2.940,272.082 ± 2.745,234.813 ± 5.140,227.044 ± 31.823,185.236 ± 1.068,31.915 ± 1.169,42.292 ± 1.247,34.102 ± 2.786,28.602 ± 0.335,2.742 ± 0.073,0.709 ± 0.343,141.948,36.629,35.874,19.381,4.365,0.982,12389.405,329.294,55.006,55.831,32.137,5.608,1.961,26104.636
Total,4606.190,4606.190 ± 54.715,1161.493 ± 6.855,981.482 ± 5.147,813.592 ± 9.984,726.970 ± 52.282,432.987 ± 1.689,118.302 ± 2.340,115.850 ± 2.105,115.385 ± 4.829,112.149 ± 0.667,15.434 ± 0.172,12.546 ± 7.113,1452.130,141.213,71.258,26.779,4.673,0.997,12488.293,1708.582,224.394,117.495,43.857,7.623,1.994,26224.014
