nbin,nData,TotalBkg,t#bar{t}+x,WWss,VV,VVV,Single t,multi-top,W+jets/#gamma,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.320 ± 0.074,0.115 ± 0.062,0.117 ± 0.021,0.030 ± 0.014,0.020 ± 0.009,0.000 ± 0.000,0.007 ± 0.002,0.000 ± 0.000,0.000 ± 0.000,0.030 ± 0.030,0.000 ± 0.000,0.000 ± 0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,15,15.530 ± 0.608,8.493 ± 0.563,3.227 ± 0.107,1.509 ± 0.098,0.961 ± 0.066,0.542 ± 0.137,0.454 ± 0.021,0.188 ± 0.058,0.000 ± 0.000,0.153 ± 0.068,0.003 ± 0.001,0.000 ± 0.000,15.127,1.946,0.489,0.048,0.005,0.000,3.999,4.023,0.182,0.000,0.014,0.001,0.000,0.000
6,19,19.318 ± 0.869,9.234 ± 0.603,4.235 ± 0.124,2.083 ± 0.114,1.226 ± 0.072,0.858 ± 0.190,0.677 ± 0.026,0.323 ± 0.098,0.557 ± 0.557,0.117 ± 0.034,0.009 ± 0.004,0.000 ± 0.000,26.799,2.886,1.312,0.331,0.010,0.000,7.495,3.926,0.186,0.072,0.015,0.004,0.000,0.000
7,16,16.210 ± 0.849,5.031 ± 0.431,5.105 ± 0.137,2.017 ± 0.109,1.532 ± 0.083,1.335 ± 0.679,0.661 ± 0.024,0.334 ± 0.177,0.000 ± 0.000,0.179 ± 0.067,0.008 ± 0.005,0.006 ± 0.006,11.885,2.171,1.962,1.135,0.239,0.053,598.968,8.087,0.000,0.170,0.038,0.017,0.005,55.432
Total,51.378,51.378 ± 1.360,22.874 ± 0.933,12.684 ± 0.214,5.638 ± 0.186,3.739 ± 0.128,2.736 ± 0.719,1.800 ± 0.041,0.844 ± 0.210,0.557 ± 0.557,0.480 ± 0.106,0.020 ± 0.006,0.006 ± 0.006,53.811,7.041,3.763,1.513,0.254,0.053,610.462,16.036,0.368,0.242,0.068,0.021,0.005,55.432
