nbin,nData,TotalBkg,t#bar{t}+x,VV,W+jets/#gamma,DY,WWss,multi-top,Single t,VVV,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,4,4.679 ± 0.922,1.186 ± 0.215,0.826 ± 0.100,1.115 ± 0.310,0.823 ± 0.823,0.246 ± 0.039,0.130 ± 0.025,0.000 ± 0.000,0.227 ± 0.121,0.106 ± 0.064,0.019 ± 0.005,0.000 ± 0.000,0.000,0.161,0.000,0.000,0.000,0.000,0.000,8.998,0.103,0.031,0.000,0.000,0.000,0.000
5,168,168.541 ± 4.587,57.081 ± 1.519,37.377 ± 0.801,29.897 ± 1.444,19.290 ± 3.770,8.497 ± 0.243,4.791 ± 0.181,4.166 ± 1.170,3.694 ± 0.468,2.859 ± 0.328,0.865 ± 0.040,0.025 ± 0.025,45.938,5.036,0.870,0.117,0.005,0.000,0.000,45.227,8.472,1.997,0.298,0.037,0.000,0.000
6,177,177.964 ± 5.226,49.331 ± 1.421,44.227 ± 0.939,34.936 ± 1.549,21.547 ± 4.536,10.491 ± 0.272,5.238 ± 0.218,4.638 ± 0.983,3.419 ± 0.437,3.091 ± 0.320,0.797 ± 0.039,0.248 ± 0.223,42.926,5.044,2.512,0.401,0.020,0.004,4.576,82.083,7.473,4.163,0.955,0.142,0.002,19.723
7,119,119.872 ± 5.997,19.976 ± 0.883,29.852 ± 0.732,25.830 ± 1.355,21.768 ± 5.625,9.551 ± 0.256,3.365 ± 0.218,3.355 ± 0.887,3.419 ± 0.424,2.387 ± 0.312,0.342 ± 0.025,0.026 ± 0.020,9.039,3.460,2.929,1.993,0.340,0.095,1078.383,25.406,4.210,5.285,3.013,0.523,0.186,2568.081
Total,471.057,471.057 ± 9.228,127.575 ± 2.269,112.282 ± 1.439,91.778 ± 2.533,63.428 ± 8.192,28.785 ± 0.447,13.523 ± 0.358,12.159 ± 1.767,10.759 ± 0.778,8.443 ± 0.558,2.024 ± 0.062,0.300 ± 0.225,97.904,13.702,6.311,2.511,0.365,0.099,1082.959,161.713,20.258,11.476,4.267,0.703,0.188,2587.804
