nbin,nData,TotalBkg,DY,W+jets/#gamma,t#bar{t}+x,VV,WWss,Z#gamma,Single t,multi-top,VVV,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,14,14.978 ± 1.945,5.116 ± 1.776,3.093 ± 0.662,2.478 ± 0.305,2.495 ± 0.251,0.444 ± 0.055,0.769 ± 0.145,0.005 ± 0.005,0.296 ± 0.036,0.254 ± 0.095,0.029 ± 0.007,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.788,0.086,0.000,0.005,0.000,0.000
5,635,635.328 ± 32.064,242.710 ± 31.669,102.902 ± 3.643,125.069 ± 2.261,94.177 ± 1.673,18.537 ± 0.374,25.528 ± 1.170,8.570 ± 1.475,9.748 ± 0.212,6.829 ± 0.539,1.230 ± 0.050,0.028 ± 0.028,81.049,0.745,0.035,0.000,0.002,0.000,0.000,139.753,45.491,10.306,1.275,0.193,0.002,0.000
6,675,675.227 ± 26.217,213.096 ± 25.613,136.819 ± 4.207,123.638 ± 2.249,112.375 ± 1.844,28.563 ± 0.441,26.976 ± 1.149,11.835 ± 1.441,10.868 ± 0.224,8.784 ± 0.571,1.171 ± 0.049,1.100 ± 1.092,145.761,0.261,0.149,0.110,0.006,0.002,10.589,240.403,46.197,22.749,5.148,0.793,0.007,15.940
7,554,554.082 ± 31.788,212.100 ± 31.455,103.234 ± 3.483,62.522 ± 1.609,86.210 ± 1.623,39.717 ± 0.506,23.044 ± 1.019,9.480 ± 1.421,7.401 ± 0.204,9.701 ± 0.594,0.563 ± 0.034,0.110 ± 0.061,6.418,0.388,0.267,0.282,0.045,0.016,211.861,49.381,31.420,33.351,18.034,3.459,1.168,15746.785
Total,1879.615,1879.615 ± 52.246,673.023 ± 51.492,346.048 ± 6.598,313.708 ± 3.585,295.258 ± 2.983,87.261 ± 0.770,76.317 ± 1.936,29.890 ± 2.504,28.313 ± 0.371,25.568 ± 0.989,2.993 ± 0.078,1.237 ± 1.094,233.227,1.394,0.452,0.392,0.054,0.018,222.450,429.537,123.896,66.492,24.457,4.450,1.177,15762.725
