nbin,nData,TotalBkg,WWss,t#bar{t}+x,W+jets/#gamma,VV,VVV,DY,Single t,Z#gamma,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.437 ± 0.193,0.009 ± 0.007,0.124 ± 0.080,0.223 ± 0.170,0.028 ± 0.014,0.010 ± 0.004,0.000 ± 0.000,0.004 ± 0.004,0.038 ± 0.038,0.001 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,15,15.600 ± 0.914,2.029 ± 0.091,7.232 ± 0.602,2.903 ± 0.638,1.655 ± 0.142,0.539 ± 0.050,0.000 ± 0.000,0.715 ± 0.163,0.267 ± 0.089,0.260 ± 0.026,0.000 ± 0.000,0.000 ± 0.000,7.719,1.167,0.253,0.045,0.003,0.000,0.000,2.905,0.550,0.091,0.000,0.004,0.000,0.000
6,23,23.939 ± 1.438,7.498 ± 0.178,6.757 ± 0.606,3.573 ± 0.606,2.460 ± 0.182,0.970 ± 0.073,1.106 ± 1.106,0.692 ± 0.155,0.471 ± 0.119,0.377 ± 0.030,0.035 ± 0.035,0.001 ± 0.000,13.744,1.406,0.751,0.231,0.008,0.000,0.000,15.331,1.027,0.304,0.020,0.005,0.000,2.603
7,26,26.332 ± 1.285,13.118 ± 0.235,4.575 ± 0.521,3.216 ± 0.488,2.152 ± 0.176,1.026 ± 0.073,1.013 ± 1.013,0.495 ± 0.124,0.374 ± 0.080,0.359 ± 0.026,0.001 ± 0.001,0.001 ± 0.001,0.000,1.079,1.283,0.678,0.186,0.040,539.809,8.713,0.908,0.335,0.288,0.036,0.010,129.825
Total,66.308,66.308 ± 2.143,22.653 ± 0.309,18.688 ± 1.004,9.915 ± 1.021,6.295 ± 0.291,2.545 ± 0.115,2.119 ± 1.500,1.907 ± 0.257,1.149 ± 0.173,0.997 ± 0.047,0.037 ± 0.035,0.003 ± 0.001,21.463,3.652,2.286,0.955,0.197,0.041,539.809,26.949,2.485,0.730,0.308,0.045,0.010,132.428
