nbin,nData,TotalBkg,WWss,t#bar{t}+x,VV,VVV,multi-top,Single t,W+jets/#gamma,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.151 ± 0.056,0.013 ± 0.007,0.078 ± 0.052,0.030 ± 0.016,0.020 ± 0.010,0.005 ± 0.002,0.004 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,10,10.402 ± 0.590,2.350 ± 0.098,5.407 ± 0.547,1.129 ± 0.101,0.578 ± 0.057,0.380 ± 0.031,0.318 ± 0.115,0.219 ± 0.110,0.000 ± 0.000,0.016 ± 0.010,0.002 ± 0.001,0.003 ± 0.003,10.092,1.299,0.326,0.032,0.003,0.000,2.668,2.684,0.122,0.000,0.010,0.001,0.000,0.000
6,18,18.928 ± 0.754,8.481 ± 0.185,6.292 ± 0.597,1.574 ± 0.121,1.091 ± 0.077,0.458 ± 0.033,0.463 ± 0.118,0.169 ± 0.056,0.372 ± 0.372,0.025 ± 0.017,0.003 ± 0.001,0.000 ± 0.000,17.879,1.925,0.875,0.221,0.007,0.000,5.001,2.619,0.124,0.048,0.010,0.002,0.000,0.000
7,21,21.570 ± 0.581,14.328 ± 0.243,3.183 ± 0.421,1.415 ± 0.114,1.053 ± 0.073,0.521 ± 0.035,0.455 ± 0.170,0.516 ± 0.224,0.000 ± 0.000,0.096 ± 0.052,0.002 ± 0.001,0.001 ± 0.001,7.929,1.449,1.309,0.757,0.159,0.035,399.601,5.395,0.000,0.114,0.025,0.011,0.003,36.981
Total,51.051,51.051 ± 1.121,25.172 ± 0.321,14.961 ± 0.914,4.148 ± 0.195,2.743 ± 0.121,1.363 ± 0.057,1.240 ± 0.237,0.904 ± 0.256,0.372 ± 0.372,0.137 ± 0.055,0.006 ± 0.001,0.005 ± 0.004,35.900,4.697,2.511,1.009,0.169,0.035,407.269,10.698,0.246,0.162,0.045,0.014,0.004,36.981
