nbin,nData,TotalBkg,VV,t#bar{t}+x,WWss,VVV,multi-top,DY,Single t,W+jets/#gamma,Higgs,Z#gamma,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.407 ± 0.108,0.085 ± 0.030,0.079 ± 0.046,0.067 ± 0.020,0.127 ± 0.090,0.033 ± 0.012,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.016 ± 0.006,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,27,27.835 ± 1.799,8.372 ± 0.302,9.247 ± 0.600,2.980 ± 0.144,0.985 ± 0.242,1.233 ± 0.067,2.064 ± 1.467,1.995 ± 0.712,0.567 ± 0.202,0.347 ± 0.027,0.046 ± 0.046,0.000 ± 0.000,25.144,2.624,0.454,0.058,0.002,0.000,0.000,17.871,0.115,0.000,0.000,0.000,0.000,0.000
6,26,26.681 ± 1.520,9.961 ± 0.339,8.366 ± 0.565,3.711 ± 0.161,1.059 ± 0.248,1.330 ± 0.067,1.304 ± 1.304,0.459 ± 0.257,0.217 ± 0.125,0.273 ± 0.024,0.000 ± 0.000,0.000 ± 0.000,22.063,2.315,1.474,0.225,0.014,0.001,0.000,24.585,0.148,0.112,0.022,0.008,0.000,0.000
7,16,16.352 ± 0.655,6.079 ± 0.259,3.749 ± 0.382,3.441 ± 0.157,1.442 ± 0.288,0.878 ± 0.048,0.000 ± 0.000,0.447 ± 0.307,0.186 ± 0.111,0.130 ± 0.017,0.000 ± 0.000,0.000 ± 0.000,15.560,1.165,1.074,0.957,0.158,0.039,579.601,17.247,0.099,0.135,0.085,0.009,0.003,71.910
Total,71.276,71.276 ± 2.447,24.497 ± 0.524,21.440 ± 0.910,10.199 ± 0.268,3.614 ± 0.459,3.474 ± 0.107,3.368 ± 1.963,2.901 ± 0.817,0.970 ± 0.263,0.766 ± 0.040,0.046 ± 0.046,0.000 ± 0.000,62.766,6.104,3.040,1.240,0.174,0.040,579.601,59.702,0.362,0.247,0.106,0.017,0.004,71.910
