nbin,nData,TotalBkg,t#bar{t}+x,VV,WWss,Single t,multi-top,VVV,W+jets/#gamma,DY,Higgs,QCD,Z#gamma,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.220 ± 0.180,0.653 ± 0.151,0.274 ± 0.074,0.190 ± 0.036,0.000 ± 0.000,0.041 ± 0.011,0.053 ± 0.053,0.000 ± 0.000,0.000 ± 0.000,0.010 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,55,55.815 ± 1.506,24.366 ± 0.917,15.865 ± 0.571,6.056 ± 0.208,3.863 ± 0.931,2.271 ± 0.084,2.174 ± 0.325,0.518 ± 0.259,0.000 ± 0.000,0.602 ± 0.034,0.101 ± 0.101,0.000 ± 0.000,37.007,5.068,1.077,0.177,0.000,0.001,0.000,37.576,0.461,0.035,0.024,0.008,0.000,0.000
6,56,56.942 ± 2.640,19.247 ± 0.784,19.743 ± 0.641,7.733 ± 0.237,2.202 ± 0.633,2.491 ± 0.084,1.935 ± 0.304,0.791 ± 0.323,2.298 ± 2.298,0.504 ± 0.031,0.000 ± 0.000,0.000 ± 0.000,65.004,4.703,2.398,0.711,0.021,0.001,0.000,29.373,0.339,0.341,0.023,0.010,0.000,6.623
7,34,34.085 ± 1.124,6.978 ± 0.429,12.659 ± 0.514,6.998 ± 0.225,2.425 ± 0.712,1.541 ± 0.059,1.936 ± 0.307,1.242 ± 0.394,0.000 ± 0.000,0.227 ± 0.021,0.015 ± 0.014,0.065 ± 0.065,25.148,3.389,2.812,1.773,0.383,0.076,1070.784,22.646,0.166,0.222,0.154,0.019,0.007,115.732
Total,148.062,148.062 ± 3.245,51.244 ± 1.289,48.541 ± 1.003,20.977 ± 0.389,8.489 ± 1.332,6.343 ± 0.133,6.098 ± 0.543,2.550 ± 0.571,2.298 ± 2.298,1.342 ± 0.050,0.116 ± 0.102,0.065 ± 0.065,127.159,13.221,6.288,2.661,0.404,0.077,1070.784,89.595,0.966,0.598,0.202,0.037,0.007,122.355
