nbin,nData,TotalBkg,DY,t#bar{t}+x,W+jets/#gamma,WWss,VV,Z#gamma,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.855 ± 0.464,0.447 ± 0.447,0.255 ± 0.115,0.000 ± 0.000,0.007 ± 0.005,0.084 ± 0.035,0.047 ± 0.035,0.005 ± 0.005,0.001 ± 0.000,0.010 ± 0.006,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000
5,44,44.368 ± 4.316,21.201 ± 4.161,9.516 ± 0.691,6.501 ± 0.855,1.587 ± 0.081,2.488 ± 0.188,1.519 ± 0.178,0.717 ± 0.161,0.527 ± 0.050,0.281 ± 0.026,0.028 ± 0.028,0.003 ± 0.001,0.000,0.025,0.000,0.000,0.000,0.000,0.000,8.058,2.909,0.843,0.100,0.012,0.000,0.000
6,46,46.979 ± 3.192,12.731 ± 2.936,10.364 ± 0.706,10.208 ± 0.953,5.719 ± 0.156,3.434 ± 0.238,2.010 ± 0.185,1.229 ± 0.209,0.904 ± 0.071,0.377 ± 0.030,0.000 ± 0.000,0.002 ± 0.001,12.928,0.000,0.000,0.011,0.000,0.000,0.000,13.216,3.667,1.877,0.433,0.064,0.001,0.000
7,60,60.118 ± 4.417,23.214 ± 4.294,7.245 ± 0.620,9.495 ± 0.692,11.315 ± 0.220,4.076 ± 0.264,2.345 ± 0.205,1.026 ± 0.191,1.024 ± 0.073,0.374 ± 0.029,0.001 ± 0.000,0.002 ± 0.001,0.000,0.000,0.018,0.022,0.003,0.001,21.967,5.446,2.712,2.785,1.427,0.295,0.103,1310.735
Total,152.320,152.320 ± 6.967,57.592 ± 6.676,27.381 ± 1.172,26.204 ± 1.456,18.628 ± 0.282,10.082 ± 0.404,5.923 ± 0.330,2.977 ± 0.325,2.456 ± 0.113,1.042 ± 0.050,0.028 ± 0.028,0.006 ± 0.002,12.928,0.025,0.018,0.032,0.003,0.001,21.967,26.721,9.313,5.505,1.960,0.370,0.104,1310.735
