nbin,nData,TotalBkg,t#bar{t}+x,WWss,W+jets/#gamma,VV,DY,Single t,VVV,Z#gamma,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.265 ± 0.084,0.130 ± 0.070,0.007 ± 0.005,0.005 ± 0.005,0.019 ± 0.014,0.000 ± 0.000,0.007 ± 0.007,0.029 ± 0.012,0.059 ± 0.040,0.008 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000
5,21,21.906 ± 1.044,9.602 ± 0.705,2.118 ± 0.093,5.313 ± 0.631,2.186 ± 0.171,0.000 ± 0.000,0.940 ± 0.375,0.627 ± 0.057,0.784 ± 0.106,0.335 ± 0.029,0.000 ± 0.000,0.002 ± 0.001,2.810,0.631,0.110,0.010,0.000,0.000,0.000,13.161,1.643,0.422,0.053,0.011,0.000,0.000
6,34,34.869 ± 1.222,10.668 ± 0.725,8.024 ± 0.183,7.898 ± 0.575,3.186 ± 0.220,1.318 ± 0.696,1.172 ± 0.224,1.023 ± 0.075,1.052 ± 0.113,0.477 ± 0.031,0.048 ± 0.034,0.003 ± 0.001,21.734,1.007,0.273,0.065,0.003,0.000,0.000,18.360,1.810,1.185,0.253,0.058,0.002,2.644
7,36,36.545 ± 2.161,6.119 ± 0.545,13.127 ± 0.234,7.302 ± 0.388,2.793 ± 0.209,3.271 ± 1.890,1.777 ± 0.735,0.960 ± 0.066,0.717 ± 0.072,0.466 ± 0.030,0.010 ± 0.006,0.003 ± 0.001,0.000,0.646,0.693,0.196,0.040,0.009,111.927,2.285,1.097,1.381,0.927,0.133,0.056,731.904
Total,93.585,93.585 ± 2.694,26.519 ± 1.151,23.276 ± 0.311,20.518 ± 0.938,8.184 ± 0.348,4.588 ± 2.014,3.896 ± 0.855,2.639 ± 0.116,2.612 ± 0.176,1.287 ± 0.052,0.058 ± 0.035,0.008 ± 0.001,24.544,2.338,1.076,0.271,0.042,0.009,111.927,33.806,4.550,3.004,1.234,0.202,0.058,734.548
