nbin,nData,TotalBkg,t#bar{t}+x,W+jets/#gamma,DY,WWss,Z#gamma,VV,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.222 ± 0.555,0.193 ± 0.070,0.048 ± 0.048,0.546 ± 0.546,0.161 ± 0.014,0.126 ± 0.044,0.082 ± 0.025,0.000 ± 0.000,0.054 ± 0.014,0.012 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.007,0.000,0.000,0.000,0.000
5,45,45.479 ± 2.634,14.002 ± 0.766,7.100 ± 0.795,10.076 ± 2.350,3.595 ± 0.064,5.053 ± 0.352,3.076 ± 0.176,1.046 ± 0.179,0.953 ± 0.063,0.573 ± 0.026,0.000 ± 0.000,0.005 ± 0.002,9.248,1.400,0.309,0.039,0.003,0.000,1.196,12.023,2.343,0.608,0.073,0.012,0.000,0.000
6,52,52.033 ± 2.659,15.443 ± 0.786,10.290 ± 0.812,9.493 ± 2.367,4.558 ± 0.072,3.912 ± 0.290,4.560 ± 0.219,1.401 ± 0.211,1.515 ± 0.079,0.799 ± 0.030,0.056 ± 0.056,0.007 ± 0.003,29.728,1.946,0.852,0.237,0.008,0.000,2.243,22.212,2.973,1.531,0.321,0.058,0.001,2.353
7,42,42.842 ± 2.241,9.196 ± 0.641,9.382 ± 0.627,6.342 ± 1.733,5.736 ± 0.081,3.107 ± 0.254,4.010 ± 0.208,2.481 ± 1.045,1.777 ± 0.087,0.761 ± 0.028,0.045 ± 0.029,0.005 ± 0.004,3.556,1.423,1.481,0.741,0.174,0.039,481.364,9.794,2.115,2.070,1.196,0.213,0.077,990.911
Total,141.576,141.576 ± 4.397,38.834 ± 1.273,26.821 ± 1.299,26.457 ± 3.798,14.050 ± 0.126,12.198 ± 0.524,11.728 ± 0.350,4.928 ± 1.081,4.298 ± 0.134,2.144 ± 0.049,0.100 ± 0.062,0.018 ± 0.005,42.532,4.804,2.642,1.017,0.184,0.039,484.803,44.030,7.442,4.216,1.591,0.283,0.078,993.264
