nbin,nData,TotalBkg,DY,W+jets/#gamma,VV,t#bar{t}+x,Z#gamma,WWss,multi-top,VVV,Single t,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.864 ± 1.033,1.419 ± 1.003,0.513 ± 0.194,0.298 ± 0.056,0.415 ± 0.117,0.098 ± 0.070,0.033 ± 0.015,0.037 ± 0.013,0.048 ± 0.041,0.000 ± 0.000,0.004 ± 0.003,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.229,0.000,0.000,0.000,0.000,0.000
5,93,93.855 ± 6.210,39.889 ± 5.995,15.777 ± 1.122,13.404 ± 0.578,17.478 ± 0.834,2.345 ± 0.339,2.021 ± 0.125,1.397 ± 0.081,0.678 ± 0.196,0.653 ± 0.408,0.213 ± 0.022,0.000 ± 0.000,16.893,0.115,0.000,0.000,0.000,0.000,0.000,12.546,5.718,1.037,0.153,0.032,0.001,0.000
6,94,94.367 ± 6.160,34.619 ± 5.908,18.531 ± 1.223,16.421 ± 0.664,15.283 ± 0.778,3.685 ± 0.499,2.299 ± 0.133,1.454 ± 0.079,0.934 ± 0.220,0.915 ± 0.425,0.227 ± 0.024,0.000 ± 0.000,17.701,0.000,0.000,0.013,0.000,0.001,0.000,55.275,6.083,2.558,0.583,0.090,0.000,0.000
7,71,71.609 ± 5.372,31.610 ± 5.172,13.478 ± 1.032,11.836 ± 0.543,6.975 ± 0.519,2.226 ± 0.339,2.515 ± 0.142,0.810 ± 0.051,1.159 ± 0.253,0.913 ± 0.528,0.087 ± 0.014,0.000 ± 0.000,0.000,0.061,0.000,0.036,0.006,0.001,16.149,3.940,3.593,3.647,2.226,0.406,0.130,2082.378
Total,262.696,262.696 ± 10.317,107.536 ± 9.930,48.298 ± 1.964,41.960 ± 1.036,40.151 ± 1.258,8.354 ± 0.696,6.869 ± 0.232,3.697 ± 0.125,2.819 ± 0.391,2.481 ± 0.791,0.530 ± 0.036,0.000 ± 0.000,34.594,0.176,0.000,0.049,0.006,0.002,16.149,71.761,15.623,7.242,2.963,0.528,0.131,2082.378
