nbin,nData,TotalBkg,t#bar{t}+x,VV,WWss,VVV,Single t,multi-top,W+jets/#gamma,Higgs,Z#gamma,QCD,DY,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.473 ± 0.117,0.211 ± 0.099,0.107 ± 0.032,0.080 ± 0.022,0.053 ± 0.048,0.000 ± 0.000,0.014 ± 0.006,0.000 ± 0.000,0.009 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,23,23.862 ± 0.984,11.258 ± 0.708,6.680 ± 0.272,2.515 ± 0.130,0.848 ± 0.225,1.188 ± 0.554,0.936 ± 0.075,0.180 ± 0.112,0.258 ± 0.022,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,5.637,2.439,0.339,0.070,0.001,0.000,0.000,8.631,0.272,0.000,0.000,0.000,0.000,0.000
6,23,23.214 ± 0.898,9.214 ± 0.643,7.878 ± 0.276,2.983 ± 0.142,0.874 ± 0.221,0.897 ± 0.481,0.878 ± 0.061,0.228 ± 0.102,0.230 ± 0.020,0.032 ± 0.032,0.000 ± 0.000,0.000 ± 0.000,37.024,2.456,1.019,0.177,0.015,0.001,0.000,28.640,0.087,0.023,0.011,0.000,0.000,0.000
7,13,13.471 ± 0.569,3.253 ± 0.352,5.353 ± 0.226,2.778 ± 0.136,0.782 ± 0.201,0.362 ± 0.250,0.430 ± 0.042,0.407 ± 0.162,0.099 ± 0.013,0.000 ± 0.000,0.007 ± 0.006,0.000 ± 0.000,3.877,1.429,1.404,0.872,0.136,0.038,446.291,0.000,0.000,0.152,0.051,0.008,0.005,41.150
Total,61.020,61.020 ± 1.453,23.935 ± 1.024,20.018 ± 0.449,8.355 ± 0.237,2.558 ± 0.377,2.447 ± 0.775,2.258 ± 0.106,0.814 ± 0.222,0.596 ± 0.033,0.032 ± 0.032,0.007 ± 0.006,0.000 ± 0.000,46.539,6.359,2.762,1.120,0.151,0.039,446.291,37.270,0.359,0.175,0.062,0.008,0.006,41.150
