nbin,nData,TotalBkg,W+jets/#gamma,t#bar{t}+x,VV,WWss,multi-top,Single t,VVV,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.267 ± 0.241,0.493 ± 0.189,0.370 ± 0.118,0.294 ± 0.090,0.073 ± 0.022,0.029 ± 0.011,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.007 ± 0.004,0.000 ± 0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.038,0.000,0.000,0.000,0.000
5,55,55.797 ± 2.068,15.417 ± 1.087,18.293 ± 0.785,13.731 ± 0.555,2.562 ± 0.137,1.678 ± 0.085,1.230 ± 0.524,0.371 ± 0.137,1.344 ± 1.344,0.885 ± 0.204,0.285 ± 0.025,0.000 ± 0.000,21.202,1.432,0.224,0.000,0.000,0.000,3.995,22.779,1.924,0.583,0.058,0.019,0.000,0.000
6,61,61.135 ± 1.706,19.031 ± 1.206,16.524 ± 0.774,16.336 ± 0.569,3.439 ± 0.160,1.804 ± 0.086,1.614 ± 0.619,1.226 ± 0.278,0.000 ± 0.000,0.869 ± 0.197,0.292 ± 0.026,0.000 ± 0.000,3.436,1.290,0.592,0.065,0.004,0.000,0.000,29.251,2.684,2.123,0.491,0.077,0.001,6.780
7,40,40.126 ± 1.718,13.870 ± 1.019,7.340 ± 0.524,10.698 ± 0.489,3.484 ± 0.162,1.064 ± 0.060,1.040 ± 0.502,1.221 ± 0.284,1.010 ± 1.010,0.281 ± 0.132,0.119 ± 0.016,0.000 ± 0.000,0.000,0.897,0.729,0.308,0.056,0.016,118.608,31.676,2.099,1.903,1.075,0.188,0.059,893.153
Total,158.326,158.326 ± 3.193,48.811 ± 1.926,42.526 ± 1.226,41.060 ± 0.938,9.559 ± 0.267,4.574 ± 0.135,3.884 ± 0.954,2.818 ± 0.420,2.354 ± 1.681,2.035 ± 0.313,0.704 ± 0.040,0.000 ± 0.000,24.638,3.672,1.545,0.373,0.060,0.016,122.603,83.706,6.765,4.646,1.624,0.284,0.061,899.932
