nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,DY,WWss,multi-top,VVV,Single t,Z#gamma,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,10,10.431 ± 0.913,2.953 ± 0.320,3.358 ± 0.344,2.206 ± 0.728,0.000 ± 0.000,0.846 ± 0.093,0.423 ± 0.042,0.318 ± 0.123,0.239 ± 0.239,0.000 ± 0.000,0.000 ± 0.000,0.087 ± 0.012,0.000,0.262,0.000,0.000,0.000,0.000,0.000,0.000,0.481,0.100,0.000,0.005,0.000,0.000
5,527,527.778 ± 29.355,124.559 ± 2.112,148.706 ± 2.463,75.088 ± 3.778,96.089 ± 28.019,29.179 ± 0.558,14.455 ± 0.239,9.710 ± 0.695,12.715 ± 1.772,7.425 ± 0.936,7.120 ± 6.854,2.732 ± 0.070,185.142,15.156,3.490,0.429,0.021,0.000,8.970,195.482,25.609,5.555,0.709,0.111,0.001,0.000
6,514,514.130 ± 19.840,143.745 ± 2.277,134.934 ± 2.301,94.695 ± 4.374,59.478 ± 18.962,35.411 ± 0.620,15.124 ± 0.235,11.886 ± 0.784,10.747 ± 1.641,5.628 ± 0.807,0.137 ± 0.137,2.346 ± 0.064,267.220,16.799,7.654,2.055,0.068,0.002,16.814,230.273,26.130,12.905,2.664,0.507,0.011,27.515
7,348,348.190 ± 28.017,100.749 ± 1.967,57.267 ± 1.434,59.849 ± 3.517,63.569 ± 27.640,35.814 ± 0.630,9.197 ± 0.165,11.440 ± 0.757,5.326 ± 1.116,3.846 ± 0.659,0.026 ± 0.019,1.108 ± 0.045,26.950,10.677,11.051,5.504,1.330,0.292,3599.665,73.430,15.475,15.888,8.914,1.610,0.578,7390.197
Total,1400.529,1400.529 ± 45.179,372.005 ± 3.690,344.265 ± 3.680,231.839 ± 6.804,219.136 ± 43.688,101.250 ± 1.049,39.200 ± 0.376,33.354 ± 1.299,29.027 ± 2.671,16.899 ± 1.400,7.283 ± 6.855,6.272 ± 0.105,479.312,42.893,22.195,7.988,1.419,0.294,3625.450,499.185,67.695,34.449,12.286,2.233,0.590,7417.713
