nbin,nData,TotalBkg,t#bar{t}+x,W+jets/#gamma,DY,WWss,Z#gamma,VV,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,4,4.813 ± 0.989,0.986 ± 0.197,0.717 ± 0.266,1.758 ± 0.923,0.373 ± 0.036,0.645 ± 0.124,0.196 ± 0.035,0.000 ± 0.000,0.102 ± 0.019,0.036 ± 0.005,0.000 ± 0.000,0.000 ± 0.000,0.000,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.024,0.000,0.000,0.000,0.000
5,129,129.916 ± 3.612,46.206 ± 1.356,20.156 ± 1.321,19.972 ± 2.973,11.023 ± 0.198,14.688 ± 0.586,9.543 ± 0.296,3.290 ± 0.371,3.329 ± 0.118,1.638 ± 0.040,0.039 ± 0.039,0.032 ± 0.008,30.364,4.562,1.019,0.129,0.009,0.000,3.944,39.695,7.393,1.959,0.233,0.041,0.000,0.000
6,164,164.446 ± 4.004,54.882 ± 1.495,29.828 ± 1.274,23.831 ± 3.343,14.348 ± 0.244,13.426 ± 0.543,14.835 ± 0.384,5.667 ± 0.559,4.725 ± 0.139,2.447 ± 0.048,0.419 ± 0.395,0.039 ± 0.008,89.662,6.280,2.796,0.770,0.025,0.001,7.465,69.045,9.358,4.794,1.036,0.182,0.004,7.776
7,138,138.566 ± 4.074,32.157 ± 1.143,27.879 ± 1.017,24.919 ± 3.638,17.171 ± 0.248,10.053 ± 0.455,13.057 ± 0.360,5.153 ± 0.770,5.806 ± 0.155,2.336 ± 0.044,0.014 ± 0.009,0.021 ± 0.006,11.702,4.600,4.771,2.387,0.563,0.125,1559.968,32.038,6.462,6.533,3.748,0.676,0.242,3116.123
Total,437.741,437.741 ± 6.830,134.230 ± 2.328,78.579 ± 2.115,70.481 ± 5.840,42.915 ± 0.402,38.812 ± 0.927,37.631 ± 0.605,14.110 ± 1.021,13.963 ± 0.240,6.457 ± 0.077,0.472 ± 0.397,0.091 ± 0.013,131.728,15.557,8.585,3.287,0.598,0.126,1571.377,140.778,23.252,13.310,5.017,0.898,0.246,3123.899
