nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,DY,WWss,multi-top,VVV,Single t,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,27,27.322 ± 1.713,6.615 ± 0.409,7.981 ± 0.526,5.827 ± 0.842,2.214 ± 1.282,2.059 ± 0.127,0.935 ± 0.061,1.060 ± 0.236,0.236 ± 0.236,0.202 ± 0.093,0.193 ± 0.018,0.000 ± 0.000,0.000,0.651,0.037,0.000,0.000,0.000,0.000,8.939,1.161,0.205,0.000,0.002,0.000,0.000
5,1194,1194.015 ± 28.774,283.395 ± 2.695,349.888 ± 3.556,194.184 ± 4.990,181.502 ± 26.967,65.793 ± 0.737,33.945 ± 0.369,23.187 ± 1.073,30.410 ± 2.584,17.187 ± 1.106,6.330 ± 0.107,8.194 ± 6.797,451.910,37.692,7.607,0.870,0.033,0.002,12.789,504.974,61.714,12.906,1.702,0.280,0.003,0.000
6,1207,1207.748 ± 23.810,328.865 ± 2.930,314.544 ± 3.335,225.690 ± 5.403,145.343 ± 22.566,81.541 ± 0.826,35.398 ± 0.375,26.949 ± 1.149,25.787 ± 2.332,17.593 ± 1.091,5.599 ± 0.101,0.440 ± 0.240,497.107,37.700,18.162,4.256,0.190,0.012,52.578,518.904,58.087,29.476,6.528,1.102,0.017,98.522
7,817,817.723 ± 28.868,225.793 ± 2.471,133.933 ± 2.099,154.081 ± 4.431,143.045 ± 28.218,79.258 ± 0.821,21.935 ± 0.307,27.113 ± 1.155,18.198 ± 2.019,11.582 ± 0.892,2.604 ± 0.069,0.180 ± 0.096,110.546,24.715,23.504,13.192,2.912,0.661,8379.343,248.581,36.087,37.502,21.310,3.712,1.285,17298.995
Total,3246.808,3246.808 ± 47.235,844.667 ± 4.703,806.347 ± 5.334,579.782 ± 8.628,472.105 ± 45.103,228.650 ± 1.384,92.213 ± 0.612,78.309 ± 1.965,74.631 ± 4.031,46.564 ± 1.794,14.726 ± 0.164,8.814 ± 6.802,1059.562,100.758,49.310,18.317,3.135,0.675,8444.710,1281.398,157.049,80.089,29.539,5.096,1.306,17397.517
