nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,DY,WWss,multi-top,VVV,Single t,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,7,7.073 ± 0.581,1.905 ± 0.204,2.355 ± 0.286,1.445 ± 0.438,0.000 ± 0.000,0.692 ± 0.069,0.268 ± 0.031,0.351 ± 0.131,0.000 ± 0.000,0.000 ± 0.000,0.057 ± 0.010,0.000 ± 0.000,0.000,0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.039,0.000,0.000,0.000,0.000
5,339,339.283 ± 12.998,85.687 ± 1.412,101.800 ± 1.880,55.598 ± 2.684,42.009 ± 12.349,20.139 ± 0.377,10.189 ± 0.184,7.087 ± 0.575,9.384 ± 1.402,4.418 ± 0.558,1.794 ± 0.058,1.179 ± 0.964,158.275,12.664,2.077,0.242,0.006,0.001,0.000,191.882,20.496,3.907,0.510,0.089,0.001,0.000
6,347,347.183 ± 11.774,98.657 ± 1.523,93.351 ± 1.783,60.898 ± 2.819,34.580 ± 11.071,25.435 ± 0.428,10.548 ± 0.179,8.693 ± 0.639,7.851 ± 1.259,5.450 ± 0.627,1.609 ± 0.055,0.110 ± 0.103,158.567,11.623,5.069,1.376,0.070,0.004,18.928,129.312,16.705,8.491,1.968,0.304,0.004,46.607
7,233,233.752 ± 11.602,67.238 ± 1.287,40.191 ± 1.129,43.915 ± 2.399,33.174 ± 11.120,23.915 ± 0.416,6.511 ± 0.128,7.877 ± 0.606,6.698 ± 1.206,3.411 ± 0.498,0.779 ± 0.038,0.044 ± 0.023,55.037,7.511,6.787,3.906,0.861,0.188,2501.923,83.971,11.345,11.705,6.739,1.089,0.369,4949.030
Total,927.290,927.290 ± 21.036,253.487 ± 2.452,237.697 ± 2.840,161.856 ± 4.593,109.763 ± 19.968,70.180 ± 0.709,27.516 ± 0.288,24.008 ± 1.060,23.934 ± 2.237,13.279 ± 0.976,4.239 ± 0.089,1.332 ± 0.970,371.879,31.918,13.934,5.524,0.937,0.193,2520.851,405.165,48.878,24.142,9.216,1.482,0.375,4995.638
