nbin,nData,TotalBkg,WWss,t#bar{t}+x,DY,W+jets/#gamma,VV,VVV,Single t,Z#gamma,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.693 ± 0.508,0.037 ± 0.012,0.582 ± 0.164,0.443 ± 0.443,0.226 ± 0.169,0.160 ± 0.043,0.059 ± 0.016,0.020 ± 0.010,0.142 ± 0.065,0.024 ± 0.007,0.000 ± 0.000,0.000 ± 0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.016,0.000,0.000,0.000,0.000
5,90,90.744 ± 4.472,7.979 ± 0.180,31.308 ± 1.261,20.721 ± 4.064,14.691 ± 1.226,7.347 ± 0.303,2.243 ± 0.106,2.651 ± 0.448,2.525 ± 0.221,1.241 ± 0.056,0.030 ± 0.027,0.007 ± 0.002,20.258,3.043,0.680,0.086,0.006,0.000,2.631,26.483,4.932,1.307,0.155,0.027,0.000,0.000
6,122,122.191 ± 3.688,29.232 ± 0.346,33.469 ± 1.299,15.080 ± 3.146,21.367 ± 1.242,10.446 ± 0.383,3.915 ± 0.145,3.485 ± 0.356,3.445 ± 0.237,1.664 ± 0.061,0.081 ± 0.048,0.008 ± 0.001,59.818,4.190,1.865,0.514,0.017,0.000,4.980,46.063,6.243,3.198,0.691,0.122,0.003,5.188
7,140,140.996 ± 4.940,50.846 ± 0.457,20.585 ± 1.032,26.526 ± 4.629,20.048 ± 0.937,10.200 ± 0.387,3.985 ± 0.140,3.668 ± 0.769,3.429 ± 0.231,1.689 ± 0.059,0.013 ± 0.006,0.008 ± 0.002,7.807,3.069,3.183,1.593,0.376,0.084,1040.731,21.374,4.311,4.359,2.501,0.451,0.161,2078.919
Total,355.624,355.624 ± 7.632,88.093 ± 0.601,85.945 ± 2.090,62.770 ± 6.931,56.332 ± 1.988,28.153 ± 0.625,10.202 ± 0.229,9.823 ± 0.958,9.541 ± 0.403,4.617 ± 0.102,0.124 ± 0.055,0.023 ± 0.003,87.882,10.379,5.728,2.193,0.399,0.084,1048.343,93.920,15.513,8.880,3.347,0.599,0.164,2084.107
