nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,WWss,VVV,multi-top,DY,Single t,Z#gamma,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.274 ± 0.359,0.593 ± 0.108,0.608 ± 0.150,0.653 ± 0.293,0.183 ± 0.035,0.144 ± 0.084,0.077 ± 0.016,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.017 ± 0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.112,0.000,0.000,0.000,0.000,0.000
5,65,65.055 ± 3.663,18.588 ± 0.640,19.513 ± 0.820,10.272 ± 1.144,5.060 ± 0.188,1.602 ± 0.268,2.274 ± 0.086,4.397 ± 3.109,1.482 ± 0.551,0.522 ± 0.185,0.950 ± 0.950,0.395 ± 0.027,12.942,4.671,0.719,0.031,0.002,0.000,0.000,46.931,3.675,0.436,0.047,0.006,0.000,0.000
6,63,63.708 ± 1.711,21.216 ± 0.710,19.725 ± 0.829,10.206 ± 1.151,6.220 ± 0.210,2.227 ± 0.325,2.111 ± 0.078,0.000 ± 0.000,0.997 ± 0.456,0.641 ± 0.214,0.000 ± 0.000,0.365 ± 0.026,32.121,3.982,1.677,0.550,0.037,0.002,5.828,29.441,3.028,1.113,0.249,0.019,0.001,5.946
7,41,41.277 ± 1.409,14.373 ± 0.585,8.660 ± 0.526,7.851 ± 1.007,5.974 ± 0.206,1.871 ± 0.295,1.269 ± 0.053,0.000 ± 0.000,0.959 ± 0.457,0.141 ± 0.100,0.013 ± 0.013,0.166 ± 0.018,24.031,2.639,2.937,1.533,0.386,0.092,1176.657,12.730,1.674,1.236,0.597,0.095,0.024,373.896
Total,172.313,172.313 ± 4.296,54.770 ± 1.126,48.506 ± 1.288,28.981 ± 1.933,17.437 ± 0.351,5.844 ± 0.521,5.731 ± 0.128,4.397 ± 3.109,3.438 ± 0.849,1.304 ± 0.300,0.964 ± 0.950,0.942 ± 0.042,69.094,11.292,5.333,2.114,0.425,0.094,1182.485,89.102,8.489,2.785,0.893,0.120,0.025,379.842
