nbin,nData,TotalBkg,t#bar{t}+x,WWss,VV,VVV,Single t,multi-top,W+jets/#gamma,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.318 ± 0.073,0.115 ± 0.061,0.116 ± 0.021,0.029 ± 0.014,0.020 ± 0.009,0.000 ± 0.000,0.007 ± 0.002,0.000 ± 0.000,0.000 ± 0.000,0.030 ± 0.030,0.000 ± 0.000,0.000 ± 0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,15,15.429 ± 0.604,8.438 ± 0.559,3.207 ± 0.106,1.498 ± 0.097,0.954 ± 0.065,0.538 ± 0.136,0.452 ± 0.021,0.186 ± 0.058,0.000 ± 0.000,0.152 ± 0.067,0.003 ± 0.001,0.000 ± 0.000,14.873,1.909,0.483,0.047,0.005,0.000,3.944,3.961,0.180,0.000,0.014,0.001,0.000,0.000
6,19,19.148 ± 0.861,9.158 ± 0.598,4.199 ± 0.123,2.059 ± 0.113,1.214 ± 0.072,0.850 ± 0.188,0.672 ± 0.026,0.319 ± 0.096,0.551 ± 0.551,0.116 ± 0.033,0.009 ± 0.004,0.000 ± 0.000,26.449,2.833,1.283,0.325,0.010,0.000,7.465,3.780,0.184,0.071,0.015,0.004,0.000,0.000
7,16,16.049 ± 0.841,4.985 ± 0.427,5.055 ± 0.135,1.993 ± 0.108,1.516 ± 0.082,1.320 ± 0.672,0.655 ± 0.023,0.332 ± 0.176,0.000 ± 0.000,0.178 ± 0.066,0.008 ± 0.005,0.006 ± 0.006,11.702,2.136,1.925,1.114,0.235,0.052,590.711,7.917,0.000,0.169,0.038,0.016,0.005,54.864
Total,50.944,50.944 ± 1.348,22.697 ± 0.926,12.578 ± 0.212,5.580 ± 0.185,3.705 ± 0.127,2.709 ± 0.711,1.786 ± 0.041,0.837 ± 0.209,0.551 ± 0.551,0.476 ± 0.105,0.020 ± 0.006,0.006 ± 0.006,53.024,6.915,3.691,1.487,0.250,0.052,602.120,15.658,0.364,0.240,0.067,0.021,0.005,54.864
