nbin,nData,TotalBkg,t#bar{t}+x,VV,W+jets/#gamma,WWss,multi-top,Single t,VVV,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.007 ± 0.297,0.758 ± 0.164,0.618 ± 0.129,0.279 ± 0.199,0.210 ± 0.038,0.063 ± 0.015,0.000 ± 0.000,0.058 ± 0.058,0.000 ± 0.000,0.000 ± 0.000,0.022 ± 0.006,0.000 ± 0.000,0.000,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.109,0.000,0.000,0.000,0.000,0.000
5,100,100.167 ± 2.368,36.683 ± 1.179,27.189 ± 0.807,22.210 ± 1.702,5.193 ± 0.192,3.248 ± 0.105,2.325 ± 0.672,1.659 ± 0.283,0.000 ± 0.000,1.050 ± 0.271,0.481 ± 0.030,0.128 ± 0.128,101.614,2.701,0.261,0.036,0.002,0.000,0.000,53.292,6.014,1.384,0.241,0.027,0.001,0.000
6,107,107.723 ± 3.727,33.679 ± 1.129,29.922 ± 0.839,23.773 ± 1.767,6.759 ± 0.222,3.320 ± 0.102,3.432 ± 0.859,2.720 ± 0.358,2.793 ± 2.793,0.772 ± 0.233,0.451 ± 0.029,0.102 ± 0.102,38.606,2.793,0.885,0.127,0.008,0.001,7.227,30.034,5.176,2.992,0.808,0.135,0.001,28.118
7,64,64.329 ± 1.921,15.096 ± 0.730,20.441 ± 0.717,15.543 ± 1.422,6.144 ± 0.213,2.088 ± 0.076,1.809 ± 0.645,2.330 ± 0.327,0.000 ± 0.000,0.632 ± 0.211,0.232 ± 0.021,0.016 ± 0.014,0.000,1.310,1.009,0.581,0.083,0.018,249.453,48.891,2.827,3.468,2.145,0.361,0.138,1560.128
Total,274.226,274.226 ± 4.824,86.216 ± 1.796,78.169 ± 1.373,61.806 ± 2.842,18.305 ± 0.364,8.718 ± 0.166,7.566 ± 1.267,6.767 ± 0.564,2.793 ± 2.793,2.454 ± 0.415,1.186 ± 0.047,0.246 ± 0.165,140.220,6.864,2.156,0.745,0.093,0.019,256.680,132.216,14.126,7.844,3.193,0.524,0.140,1588.246
