nbin,nData,TotalBkg,DY,VV,W+jets/#gamma,t#bar{t}+x,WWss,Z#gamma,multi-top,VVV,Single t,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.583 ± 0.299,0.000 ± 0.000,0.423 ± 0.088,0.513 ± 0.257,0.341 ± 0.101,0.110 ± 0.027,0.000 ± 0.000,0.089 ± 0.018,0.097 ± 0.065,0.000 ± 0.000,0.009 ± 0.004,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.112,0.039,0.000,0.000,0.000,0.000
5,119,119.036 ± 12.153,37.612 ± 11.951,24.290 ± 0.786,22.605 ± 1.712,21.583 ± 0.808,3.905 ± 0.166,2.846 ± 0.451,2.428 ± 0.092,1.685 ± 0.277,1.761 ± 0.605,0.323 ± 0.024,0.000 ± 0.000,7.184,0.296,0.034,0.000,0.002,0.000,0.000,54.636,10.352,2.052,0.198,0.049,0.000,0.000
6,119,119.638 ± 10.724,29.513 ± 10.469,28.097 ± 0.845,26.136 ± 1.843,20.974 ± 0.787,4.828 ± 0.187,4.038 ± 0.541,2.664 ± 0.093,1.840 ± 0.292,1.245 ± 0.497,0.296 ± 0.023,0.008 ± 0.008,24.004,0.221,0.148,0.000,0.004,0.000,5.873,40.915,8.165,4.056,0.888,0.140,0.002,5.994
7,94,94.548 ± 11.300,33.174 ± 11.120,19.947 ± 0.737,19.299 ± 1.602,9.568 ± 0.534,4.890 ± 0.189,2.575 ± 0.436,1.634 ± 0.067,1.770 ± 0.285,1.531 ± 0.579,0.157 ± 0.017,0.001 ± 0.001,6.224,0.235,0.079,0.048,0.014,0.004,18.065,0.000,6.679,6.780,3.845,0.614,0.201,2900.679
Total,334.805,334.805 ± 19.761,100.299 ± 19.393,72.757 ± 1.372,68.554 ± 2.994,52.466 ± 1.252,13.733 ± 0.315,9.459 ± 0.828,6.814 ± 0.148,5.392 ± 0.497,4.537 ± 0.973,0.785 ± 0.038,0.009 ± 0.008,37.413,0.752,0.261,0.048,0.019,0.004,23.939,95.550,25.307,12.927,4.931,0.803,0.202,2906.673
