nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,WWss,Single t,multi-top,VVV,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.579 ± 0.263,0.417 ± 0.104,0.399 ± 0.119,0.587 ± 0.208,0.139 ± 0.030,0.000 ± 0.000,0.034 ± 0.011,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.004 ± 0.003,0.000 ± 0.000,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,33,33.660 ± 1.248,9.234 ± 0.400,9.857 ± 0.560,7.694 ± 0.729,2.099 ± 0.120,1.822 ± 0.670,1.145 ± 0.066,1.118 ± 0.250,0.000 ± 0.000,0.447 ± 0.142,0.246 ± 0.023,0.000 ± 0.000,12.304,1.306,0.652,0.032,0.000,0.000,0.000,24.212,1.646,0.240,0.011,0.002,0.000,0.000
6,33,33.885 ± 1.693,10.628 ± 0.443,8.978 ± 0.530,7.531 ± 0.726,2.853 ± 0.141,0.600 ± 0.390,1.022 ± 0.058,0.525 ± 0.170,1.284 ± 1.284,0.249 ± 0.102,0.216 ± 0.021,0.000 ± 0.000,11.234,1.628,1.091,0.194,0.014,0.000,12.360,19.090,1.105,0.420,0.080,0.017,0.000,0.000
7,23,23.985 ± 1.659,8.108 ± 0.407,3.983 ± 0.366,4.409 ± 0.564,2.778 ± 0.140,1.076 ± 0.545,0.669 ± 0.042,1.189 ± 0.249,1.317 ± 1.317,0.261 ± 0.101,0.106 ± 0.015,0.089 ± 0.089,6.670,1.522,1.549,0.806,0.224,0.044,656.941,15.865,0.927,0.408,0.221,0.049,0.013,156.847
Total,93.110,93.110 ± 2.692,28.387 ± 0.730,23.218 ± 0.862,20.221 ± 1.191,7.868 ± 0.234,3.497 ± 0.948,2.869 ± 0.098,2.832 ± 0.392,2.601 ± 1.839,0.957 ± 0.202,0.572 ± 0.034,0.089 ± 0.089,30.208,4.515,3.291,1.032,0.238,0.044,669.301,59.167,3.678,1.068,0.312,0.067,0.013,156.847
