nbin,nData,TotalBkg,DY,t#bar{t}+x,W+jets/#gamma,Z#gamma,VV,WWss,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.824 ± 0.546,0.541 ± 0.541,0.060 ± 0.036,0.048 ± 0.048,0.082 ± 0.039,0.046 ± 0.021,0.030 ± 0.006,0.000 ± 0.000,0.010 ± 0.007,0.006 ± 0.003,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000
5,18,18.311 ± 1.867,6.712 ± 1.737,4.259 ± 0.432,2.506 ± 0.442,2.663 ± 0.253,0.983 ± 0.102,0.619 ± 0.026,0.287 ± 0.106,0.175 ± 0.023,0.105 ± 0.010,0.000 ± 0.000,0.002 ± 0.001,0.000,0.011,0.000,0.000,0.000,0.000,0.000,3.575,1.198,0.365,0.042,0.005,0.000,0.000
6,24,24.099 ± 2.402,9.131 ± 2.277,5.116 ± 0.466,4.318 ± 0.531,2.332 ± 0.230,1.292 ± 0.118,0.879 ± 0.031,0.554 ± 0.127,0.305 ± 0.034,0.170 ± 0.014,0.000 ± 0.000,0.002 ± 0.001,4.556,0.000,0.000,0.005,0.000,0.000,0.000,5.836,1.508,0.783,0.186,0.026,0.000,0.000
7,18,18.104 ± 1.819,5.715 ± 1.621,2.781 ± 0.381,3.526 ± 0.335,1.979 ± 0.202,1.230 ± 0.117,1.182 ± 0.036,1.106 ± 0.604,0.421 ± 0.041,0.151 ± 0.012,0.011 ± 0.011,0.002 ± 0.002,0.000,0.000,0.008,0.009,0.001,0.001,9.572,2.385,1.085,1.164,0.590,0.125,0.042,547.723
Total,61.338,61.338 ± 3.586,22.098 ± 3.335,12.216 ± 0.742,10.398 ± 0.769,7.056 ± 0.399,3.551 ± 0.196,2.710 ± 0.054,1.948 ± 0.626,0.912 ± 0.058,0.432 ± 0.021,0.011 ± 0.011,0.005 ± 0.002,4.556,0.011,0.008,0.014,0.001,0.001,9.572,11.796,3.803,2.312,0.818,0.156,0.043,547.723
