nbin,nData,TotalBkg,t#bar{t}+x,VV,W+jets/#gamma,WWss,VVV,multi-top,Single t,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,9,9.321 ± 0.831,2.576 ± 0.303,1.830 ± 0.215,2.784 ± 0.576,0.771 ± 0.073,0.403 ± 0.147,0.287 ± 0.033,0.063 ± 0.059,0.432 ± 0.432,0.131 ± 0.061,0.046 ± 0.009,0.000 ± 0.000,0.000,0.220,0.000,0.000,0.000,0.000,0.000,0.000,0.273,0.000,0.000,0.000,0.000,0.000
5,272,272.743 ± 5.279,93.335 ± 1.857,66.334 ± 1.253,49.459 ± 2.530,22.996 ± 0.394,7.436 ± 0.538,8.179 ± 0.170,7.466 ± 1.119,8.064 ± 3.680,7.031 ± 0.523,1.453 ± 0.051,0.989 ± 0.951,76.645,17.297,3.864,0.513,0.027,0.000,0.000,159.260,11.569,1.660,0.116,0.041,0.000,0.000
6,296,296.431 ± 4.466,86.448 ± 1.777,79.010 ± 1.400,56.723 ± 2.619,36.198 ± 0.477,9.637 ± 0.583,8.338 ± 0.163,5.674 ± 0.875,5.786 ± 2.316,6.255 ± 0.504,1.310 ± 0.049,1.053 ± 0.994,127.618,16.969,9.421,2.552,0.108,0.005,18.188,154.184,12.299,3.826,0.611,0.077,0.004,27.830
7,210,210.958 ± 3.592,41.930 ± 1.244,57.098 ± 1.215,38.534 ± 2.095,44.422 ± 0.507,9.375 ± 0.545,5.680 ± 0.142,5.642 ± 0.943,4.345 ± 1.980,3.210 ± 0.317,0.617 ± 0.033,0.104 ± 0.090,30.701,12.350,13.905,7.645,1.997,0.449,5873.762,95.108,9.017,4.403,2.905,0.418,0.114,1488.454
Total,789.453,789.453 ± 7.836,224.289 ± 2.871,204.271 ± 2.247,147.501 ± 4.240,104.387 ± 0.803,26.851 ± 0.973,22.484 ± 0.277,18.846 ± 1.705,18.627 ± 4.798,16.627 ± 0.795,3.426 ± 0.078,2.146 ± 1.379,234.964,46.836,27.190,10.710,2.132,0.455,5891.951,408.552,33.159,9.889,3.632,0.536,0.118,1516.284
