nbin,nData,TotalBkg,t#bar{t}+x,VV,W+jets/#gamma,DY,WWss,Z#gamma,VVV,Single t,multi-top,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,36,36.662 ± 2.205,9.953 ± 0.596,7.161 ± 0.415,7.268 ± 0.937,5.492 ± 1.808,2.660 ± 0.133,1.153 ± 0.177,1.312 ± 0.238,0.314 ± 0.243,1.017 ± 0.062,0.193 ± 0.018,0.138 ± 0.138,0.000,0.919,0.037,0.000,0.000,0.000,0.000,8.939,1.251,0.260,0.000,0.002,0.000,0.000
5,1508,1508.005 ± 29.604,459.129 ± 4.189,307.041 ± 2.742,244.229 ± 5.451,241.718 ± 27.651,92.696 ± 0.797,40.798 ± 1.328,31.014 ± 1.090,38.699 ± 2.663,38.041 ± 0.378,6.377 ± 0.107,8.263 ± 6.797,522.376,48.278,9.971,1.170,0.055,0.002,21.943,597.095,78.871,17.452,2.242,0.374,0.004,0.000
6,1626,1626.075 ± 24.923,436.799 ± 4.081,363.955 ± 2.999,300.019 ± 5.827,212.732 ± 23.435,145.219 ± 0.962,40.092 ± 1.284,38.948 ± 1.174,38.334 ± 2.448,41.290 ± 0.388,5.660 ± 0.101,3.027 ± 1.512,705.186,52.274,24.650,6.042,0.248,0.013,69.902,679.137,79.803,40.601,8.933,1.524,0.026,116.568
7,1213,1213.338 ± 29.818,205.655 ± 2.775,258.259 ± 2.551,222.395 ± 4.746,213.297 ± 29.016,179.836 ± 1.026,30.164 ± 1.076,40.678 ± 1.181,32.135 ± 2.571,27.592 ± 0.320,2.641 ± 0.069,0.687 ± 0.335,137.702,35.390,34.576,18.732,4.218,0.952,11999.565,322.932,51.084,52.663,30.008,5.280,1.845,24530.593
Total,4384.081,4384.081 ± 48.903,1111.536 ± 6.501,936.415 ± 4.816,773.911 ± 9.331,673.239 ± 46.465,420.411 ± 1.622,112.207 ± 2.145,111.951 ± 2.004,109.483 ± 4.444,107.940 ± 0.632,14.872 ± 0.164,12.115 ± 6.973,1365.265,136.862,69.234,25.944,4.521,0.967,12091.410,1608.102,211.010,110.977,41.182,7.181,1.876,24647.161
