nbin,nData,TotalBkg,WWss,t#bar{t}+x,W+jets/#gamma,VV,DY,VVV,Single t,QCD,multi-top,Z#gamma,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.182 ± 0.085,0.006 ± 0.005,0.047 ± 0.035,0.048 ± 0.048,0.018 ± 0.011,0.000 ± 0.000,0.001 ± 0.001,0.059 ± 0.059,0.000 ± 0.000,0.003 ± 0.002,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,10,10.932 ± 1.606,1.165 ± 0.067,4.379 ± 0.458,2.048 ± 0.600,0.863 ± 0.102,1.403 ± 1.403,0.350 ± 0.044,0.434 ± 0.146,0.000 ± 0.000,0.145 ± 0.019,0.143 ± 0.060,0.001 ± 0.001,4.018,0.596,0.132,0.024,0.002,0.000,0.000,1.529,0.289,0.048,0.000,0.002,0.000,0.000
6,14,14.457 ± 1.493,3.930 ± 0.122,3.035 ± 0.379,3.004 ± 0.621,1.485 ± 0.151,0.815 ± 0.815,0.534 ± 0.057,0.244 ± 0.069,0.993 ± 0.993,0.245 ± 0.026,0.171 ± 0.051,0.000 ± 0.000,7.215,0.697,0.393,0.118,0.004,0.000,0.000,6.632,0.537,0.150,0.011,0.003,0.000,1.363
7,13,13.609 ± 0.640,6.652 ± 0.159,1.926 ± 0.291,2.602 ± 0.516,1.084 ± 0.125,0.000 ± 0.000,0.533 ± 0.054,0.388 ± 0.110,0.000 ± 0.000,0.228 ± 0.025,0.194 ± 0.057,0.001 ± 0.001,0.000,0.538,0.661,0.346,0.095,0.021,275.335,4.543,0.449,0.176,0.148,0.019,0.005,64.583
Total,39.180,39.180 ± 2.286,11.753 ± 0.211,9.388 ± 0.663,7.703 ± 1.007,3.450 ± 0.221,2.218 ± 1.623,1.417 ± 0.090,1.126 ± 0.204,0.993 ± 0.993,0.620 ± 0.041,0.509 ± 0.097,0.003 ± 0.001,11.233,1.831,1.187,0.489,0.100,0.021,275.335,12.705,1.275,0.374,0.158,0.023,0.005,65.946
