nbin,nData,TotalBkg,t#bar{t}+x,DY,W+jets/#gamma,WWss,VV,Z#gamma,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,9,9.340 ± 1.389,1.972 ± 0.281,3.278 ± 1.276,1.441 ± 0.412,0.601 ± 0.042,0.545 ± 0.071,0.951 ± 0.150,0.079 ± 0.060,0.252 ± 0.032,0.082 ± 0.011,0.138 ± 0.138,0.001 ± 0.000,0.000,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.055,0.000,0.000,0.000,0.000
5,313,313.990 ± 6.962,109.241 ± 2.215,60.216 ± 6.115,50.045 ± 2.195,26.903 ± 0.303,23.646 ± 0.508,23.611 ± 0.735,8.290 ± 0.646,7.826 ± 0.190,4.096 ± 0.084,0.069 ± 0.047,0.047 ± 0.008,70.467,10.586,2.364,0.300,0.022,0.000,9.154,92.121,17.157,4.547,0.540,0.094,0.001,0.000
6,418,418.327 ± 7.364,122.255 ± 2.352,67.389 ± 6.322,74.329 ± 2.182,63.679 ± 0.494,35.090 ± 0.643,22.499 ± 0.677,12.547 ± 0.743,11.999 ± 0.239,5.893 ± 0.098,2.588 ± 1.493,0.061 ± 0.010,208.080,14.573,6.488,1.787,0.059,0.001,17.324,160.233,21.717,11.126,2.404,0.423,0.009,18.046
7,395,395.615 ± 7.465,71.722 ± 1.816,70.251 ± 6.758,68.315 ± 1.701,100.578 ± 0.616,32.466 ± 0.636,18.582 ± 0.600,13.937 ± 1.592,13.565 ± 0.249,5.656 ± 0.090,0.506 ± 0.321,0.037 ± 0.007,27.156,10.676,11.072,5.540,1.306,0.291,3620.223,74.350,14.997,15.161,8.699,1.568,0.560,7231.598
Total,1137.272,1137.272 ± 12.663,305.190 ± 3.717,201.134 ± 11.166,194.129 ± 3.555,191.760 ± 0.847,91.748 ± 1.039,65.643 ± 1.176,34.852 ± 1.873,33.642 ± 0.395,15.727 ± 0.158,3.300 ± 1.534,0.146 ± 0.015,305.702,36.104,19.924,7.627,1.387,0.292,3646.700,326.704,53.961,30.888,11.643,2.085,0.570,7249.644
