nbin,nData,TotalBkg,t#bar{t}+x,W+jets/#gamma,VV,WWss,Single t,multi-top,VVV,DY,Z#gamma,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,8,8.878 ± 0.691,3.182 ± 0.342,1.667 ± 0.458,1.949 ± 0.223,0.773 ± 0.073,0.243 ± 0.236,0.268 ± 0.032,0.363 ± 0.115,0.000 ± 0.000,0.234 ± 0.078,0.138 ± 0.138,0.061 ± 0.010,0.000,0.437,0.000,0.000,0.000,0.000,0.000,8.939,0.233,0.175,0.000,0.000,0.000,0.000
5,430,430.547 ± 9.293,156.266 ± 2.497,93.383 ± 3.348,94.771 ± 1.550,24.421 ± 0.411,13.053 ± 1.546,11.968 ± 0.214,8.219 ± 0.551,10.363 ± 4.239,9.305 ± 0.602,7.011 ± 6.728,1.788 ± 0.057,211.728,9.146,1.611,0.105,0.002,0.000,3.941,193.381,23.225,5.898,0.833,0.138,0.002,0.000
6,469,469.334 ± 5.875,149.979 ± 2.441,111.607 ± 3.452,111.567 ± 1.678,39.066 ± 0.509,14.928 ± 1.616,13.099 ± 0.230,11.238 ± 0.634,7.078 ± 3.158,8.302 ± 0.555,0.927 ± 0.466,1.543 ± 0.053,194.888,12.004,3.705,0.690,0.033,0.002,7.227,198.891,23.213,14.597,3.335,0.678,0.012,66.594
7,323,323.681 ± 5.852,70.117 ± 1.637,84.169 ± 2.830,75.301 ± 1.391,46.220 ± 0.523,11.583 ± 1.716,8.400 ± 0.178,11.605 ± 0.651,10.109 ± 4.202,4.942 ± 0.433,0.451 ± 0.317,0.783 ± 0.038,12.445,7.053,6.509,2.257,0.430,0.100,1176.543,104.062,12.955,15.976,10.061,1.535,0.610,7933.452
Total,1232.440,1232.440 ± 12.474,379.544 ± 3.871,290.827 ± 5.598,283.588 ± 2.684,110.479 ± 0.841,39.807 ± 2.829,33.735 ± 0.362,31.426 ± 1.069,27.550 ± 6.753,22.783 ± 0.929,8.526 ± 6.753,4.176 ± 0.087,419.061,28.640,11.825,3.052,0.465,0.103,1187.711,505.273,59.626,36.646,14.229,2.351,0.624,8000.046
