,Sample,Subsample,DAS sample name,nEvtGen,xSec (pb) (GenXsec),xSec (pb) (Used),Lumi (pb-1),Comments ...,xSec(AN),Lumi (using AN),,,  
,,,,,,,,,,,,,
,SingleTop,s-channel_LeptonDecays,ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8,13620000,3.549e+00 +- 3.075e-03,3.7400,3641711.2299,,3.74,3641711.2299,,,
,,t-channel_AntiTop_InclusiveDecays,ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8,69793000,6.793e+01 +- 4.479e-01,67.9300,1027425.2907,,,,,,
,,t-channel_Top_InclusiveDecays,ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8,129903000,1.134e+02 +- 8.831e-01,113.4000,1145529.1005,,,,,,
,,tW_AntiTop_InclusiveDecays,ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8,7749000,3.251e+01 +- 2.346e-02,32.5100,238357.4285,,,,,,
,,tW_Top_InclusiveDecays,ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8,7956000,3.245e+01 +- 2.338e-02,32.4500,245177.1957,,,,,,
,TTBar,TTTo2L2Nu,TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,106724000,6.871e+02 +- 5.174e-01,88.2900,1208789.2174,,88.29,1208789.2174,,,
,,TTToSemiLeptonic,TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8,346052000,6.871e+02 +- 5.174e-01,365.3400,947205.3430,,365.34,947205.3430,[1112.5675],,
,TTW,TTWToLNu,TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8,7140411,2.154e-01 +- 1.399e-03,0.2154,33149540.3900,,0.2149,33226668.2178,,,
,TTZ,TTZToLL,TTZToLL_TuneCP5_13TeV_amcatnlo-pythia8,29787000,7.468e-02 +- 1.473e-04,0.0747,398861810.3910,,0.2728,109189882.6979,,,
,Rare,THQ,THQ_ctcvcp_4f_Hincl_TuneCP5_13TeV_madgraph_pythia8,2649998,7.453e-01 +- 1.164e-03,0.3189,8309808.7175,,0.3189,8309808.7175,,,
,,THW,THW_ctcvcp_5f_Hincl_TuneCP5_13TeV_madgraph_pythia8,4148000,1.470e-01 +- 1.487e-04,0.1503,27598137.0592,,0.1503,27598137.0592,,,
,,TTHH,TTHH_TuneCP5_13TeV-madgraph-pythia8,360000,6.710e-04 +- 2.261e-06,0.0006655,540946656.6491,,0.0006655,540946656.6491,,,
,,TTTJ,TTTJ_TuneCP5_13TeV-madgraph-pythia8,354000,4.010e-04 +- 6.863e-07,0.0003974,890790135.8832,,0.0003974,890790135.8832,,,
