,2018_UL,,,,,,,,,,
,,,,,,,,,,,
,Data,,,,,,,,,,
,Sample,Subsample,DAS,nEvtTotal,Lumi (pb-1),Original nEvt,Missing data (%),,,,
,SingleMuon,SingleMuon_A,/SingleMuon/Run2018A-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,241608232,,241608232  ,0.0000,,,,
,,SingleMuon_B,/SingleMuon/Run2018B-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,119918017,,119918017  ,0.0000,,,,
,,SingleMuon_C,/SingleMuon/Run2018C-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,109986009,,109986009  ,0.0000,,Color codes,,
,,SingleMuon_D,/SingleMuon/Run2018D-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,513909894,,513909894  ,0.0000,,,Not enough luminosity,
,EGamma,EGamma_A,/EGamma/Run2018A-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,339013231,,339013231  ,0.0000,,,Very wrong xsec,
,,EGamma_B,/EGamma/Run2018B-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,153792795,,153792795  ,0.0000,,,Under process,
,,EGamma_C,/EGamma/Run2018C-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,147827904,,147827904  ,0.0000,,,Highlighted comments,
,,EGamma_D,/EGamma/Run2018D-UL2018_MiniAODv2_NanoAODv9-v3/NANOAOD,751683150,,751683150  ,0.0000,,,Using values from AN,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,MC (SM backgrounds),,,,,,,,,,
,/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1*/NANOAODSIM,,,,,,,,Numbers from Angira's AN,,
,Sample,Subsample,DAS sample name,nEvtGen,xSec (pb) (GenXsec),xSec (pb) (Used),Lumi (pb-1),Comments ...,xSec(AN),Lumi (using AN),
,,,,,,,,,,,
,,t-channel_Top_InclusiveDecays,ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8,176752000,1.134e+02 +- 8.831e-01,113.4000,1558659.6120,,,,
,,tW_AntiTop_InclusiceDecays,ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8,7749000,3.251e+01 +- 2.346e-02,32.5100,238357.4285,,,,
,,tW_Top_InclusiveDecays,ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8,7956000,3.245e+01 +- 2.338e-02,32.4500,245177.1957,,,,
,TTBar,TTTo2L2Nu,TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,145020000,6.871e+02 +- 5.174e-01,88.2900,1642541.6242,,88.29,1642541.6242,
,,TTToSemiLeptonic,TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8,476408000,6.871e+02 +- 5.174e-01,365.3400,1304012.7005,,365.34,1304012.7005,[1112.5675]
,TTW,TTWToLNu,TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8,10450000,2.154e-01 +- 1.399e-03,0.2154,48514391.8292,,0.2149,48627268.4970,
,TTZ,TTZToLL,TTZToLL_TuneCP5_13TeV_amcatnlo-pythia8,29369504,7.468e-02 +- 1.473e-04,0.0747,393271344.4028,,0.2728,107659472.1408,
,Rare,THQ,THQ_ctcvcp_4f_Hincl_TuneCP5_13TeV_madgraph_pythia8,29799971,7.453e-01 +- 1.164e-03,0.3189,93446130.4484,,0.3189,93446130.4484,
,,THW,THW_ctcvcp_5f_Hincl_TuneCP5_13TeV_madgraph_pythia8,14865000,1.470e-01 +- 1.487e-04,0.1503,98902195.6088,,0.1503,98902195.6088,
,,TTHH,TTHH_TuneCP5_13TeV-madgraph-pythia8,500000,6.710e-04 +- 2.261e-06,0.0006655,751314800.9016,,0.0006655,751314800.9016,
,,TTTJ,TTTJ_TuneCP5_13TeV-madgraph-pythia8,500000,4.010e-04 +- 6.863e-07,0.0003974,1258178158.0272,,0.0003974,1258178158.0272,
,,TTTT,TTTT_TuneCP5_13TeV-amcatnlo-pythia8,13058000,8.091e-03 +- 1.165e-05,0.008213,1589918422.0139,,0.008213,1589918422.0139,
,,TTTW,TTTW_TuneCP5_13TeV-madgraph-pythia8,494000,7.282e-04 +- 1.253e-06,0.0007342,672841187.6873,,0.0007342,672841187.6873,
,,TTWH,TTWH_TuneCP5_13TeV-madgraph-pythia8,497000,1.142e-03 +- 1.269e-06,0.001141,435582822.0859,,0.001141,435582822.0859,
,,TTWW,TTWW_TuneCP5_13TeV-madgraph-pythia8,944000,7.000e-03 +- 8.231e-06,0.006995,134953538.2416,,0.006995,134953538.2416,
,,TTWZ,TTWZ_TuneCP5_13TeV-madgraph-pythia8,498000,2.457e-03 +- 2.678e-06,0.002448,203431372.5490,,0.002448,203431372.5490,
,,TTZH,TTZH_TuneCP5_13TeV-madgraph-pythia8,500000,1.135e-03 +- 1.400e-06,0.001129,442869796.2799,,0.001129,442869796.2799,
,,TTZZ,TTZZ_TuneCP5_13TeV-madgraph-pythia8,498000,1.390e-03 +- 1.667e-06,0.001386,359307359.3074,,0.001386,359307359.3074,
,,tZq_ll,tZq_ll_4f_ckm_NLO_TuneCP5_13TeV-amcatnlo-pythia8,11916000,7.561e-02 +- 2.088e-04,0.942,12649681.5287,,0.942,12649681.5287,
,,,,,,,,,,,
,Single V+X processes,,,,,,,,,,
,HTbinnedWJets,Inclusive ,WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8,81051269,5.345e+04 +- 1.315e+02,53450.0000,1516.3942,Not using in my analysis,61526.7,1317.3349,
,,70to100,WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8,66220256,1.271e+03 +- 4.571e+00,1271.0000,52100.9095,,,,
