,2016preVFP_UL,,,,,,,,,
,,,,,,,,,,
,Data,,,,,,,,,
,Sample,Subsample,DAS,nEvtTotal,Lumi (pb-1),Original nEvt,Missing data (%),,,
,,,,,,,,,,
,Top production,,,,,,,,,
,SingleTop,s-channel_LeptonDecays,ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8,5518000,3.549e+00 +- 3.075e-03,3.7400,1475401.0695,,,
,,t-channel_AntiTop_InclusiveDecays,ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8,24681000,6.793e+01 +- 4.479e-01,67.9300,363329.8984,,,
,,t-channel_Top_InclusiveDecays,ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8,55961000,1.134e+02 +- 8.831e-01,113.4000,493483.2451,,,
,,tW_AntiTop_InclusiceDecays,ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8,2300000,3.251e+01 +- 2.346e-02,32.5100,70747.4623,,,
,,tW_Top_InclusiveDecays,ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8,2300000,3.245e+01 +- 2.338e-02,32.4500,70878.2743,,,
,TTBar,TTTo2L2Nu,TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,37505000,6.871e+02 +- 5.174e-01,88.2900,424793.2948,,,
,,TTToSemiLeptonic,TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8,130818000,6.871e+02 +- 5.174e-01,365.3400,358071.9330,,,
,TTW,TTWToLnu,TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8,2850164,2.154e-01 +- 1.399e-03,0.2154,13231959.1458,,,
,TTZ,TTZToLL,TTZToLL_TuneCP5_13TeV_amcatnlo-pythia8,16145332,7.468e-02 +- 1.473e-04,0.0747,216193519.0145,,,
,Rare,THQ,THQ_ctcvcp_4f_Hincl_TuneCP5_13TeV_madgraph_pythia8,1729999,7.453e-01 +- 1.164e-03,0.3189,5424894.9514,,,
,,THW,THW_ctcvcp_5f_Hincl_TuneCP5_13TeV_madgraph_pythia8,656000,1.470e-01 +- 1.487e-04,0.1503,4364604.1251,,,
,,TTHH,TTHH_TuneCP5_13TeV-madgraph-pythia8,140000,6.710e-04 +- 2.261e-06,0.0006655,210368144.2524,,,
,,TTTJ,TTTJ_TuneCP5_13TeV-madgraph-pythia8,138000,4.010e-04 +- 6.863e-07,0.0003974,347257171.6155,,,
,,TTTT,TTTT_TuneCP5_13TeV-amcatnlo-pythia8,2259000,8.091e-03 +- 1.165e-05,0.008213,275051747.2300,,,
,,TTTW,TTTW_TuneCP5_13TeV-madgraph-pythia8,140000,7.282e-04 +- 1.253e-06,0.0007342,190683737.4013,,,
,,TTWH,TTWH_TuneCP5_13TeV-madgraph-pythia8,140000,1.142e-03 +- 1.269e-06,0.001141,122699386.5031,,,
,,TTWW,TTWW_TuneCP5_13TeV-madgraph-pythia8,278000,7.000e-03 +- 8.231e-06,0.006995,39742673.3381,,,
,,TTWZ,TTWZ_TuneCP5_13TeV-madgraph-pythia8,140000,2.457e-03 +- 2.678e-06,0.002448,57189542.4837,,,
,,TTZH,TTZH_TuneCP5_13TeV-madgraph-pythia8,140000,1.135e-03 +- 1.400e-06,0.001129,124003542.9584,,,
,,TTZZ,TTZZ_TuneCP5_13TeV-madgraph-pythia8,140000,1.390e-03 +- 1.667e-06,0.001386,101010101.0101,,,
,,tZq_ll,tZq_ll_4f_ckm_NLO_TuneCP5_13TeV-amcatnlo-pythia8,3714000,7.561e-02 +- 2.088e-04,0.942,3942675.1592,,,
,,,,,,,,,,
,Single V+X processes,,,,,,,,,
,HTbinnedWJets,Inclusive ,WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8,74060701,5.345e+04 +- 1.315e+02,53450.0000,1385.6071,Not using in my analysis,,
,,70to100,WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8,16931765,1.271e+03 +- 4.571e+00,1271.0000,13321.6090,,,
,,100to200,WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8,21734530,1.250e+03 +- 5.261e+00,1250.0000,17387.6240,,,
,,200to400,WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8,17870845,3.380e+02 +- 3.878e+00,338.0000,52872.3225,,,
,,400to600,WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8,2467498,4.544e+01 +- 2.599e-01,45.4400,54302.3327,,,
,,600to800,WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8,2344130,1.089e+01 +- 5.196e-02,10.8900,215255.2801,,,
,,800to1200,WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8,2510487,4.930e+00 +- 2.560e-02,4.9300,509226.5720,,,
,,1200to2500,WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8,2119975,1.157e+00 +- 4.855e-03,1.1570,1832303.3708,,,
,,2500toInf,WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8,808649,2.642e-02 +- 1.517e-04,0.0026,306074564.7237,,,
,WJetsNLO,Inclusive ,WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8,,6.695e+04 +- 3.075e+02,66950.0000,0.0000,Not using in my analysis,,
,,100to250,WJetsToLNu_Pt-100To250_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,7.510e+02 +- 7.187e+00,751.0000,0.0000,Not using in my analysis,,
,,250to400,WJetsToLNu_Pt-250To400_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,2.741e+01 +- 2.335e-01,27.4100,0.0000,Not using in my analysis,,
,,400to600,WJetsToLNu_Pt-400To600_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,3.549e+00 +- 3.579e-02,3.5490,0.0000,Not using in my analysis,,
,,600toInf,WJetsToLNu_Pt-600ToInf_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,5.388e-01 +- 4.464e-03,0.5388,0.0000,Not using in my analysis,,
,WGamma,WGToLnuG_01J,WGToLNuG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8,53848477,1.924e+02 +- 1.055e+00,489.0000,110119.5849,,,
,DYJetsToLL,M10To50,DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8,49632553,1.594e+04 +- 4.184e+01,18610,2666.9830,,,
,,M50,DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8,90947213,6.448e+03 +- 3.513e+01,5675,16025.9406,,,
,ZGamma,ZGToLLG_01J,ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8,23275543,5.049e+01 +- 4.366e-01,50.4900,460993.1274,,,
,,,,,,,,,,
,VV processes,,,,,,,,,
,WW,WWTo1L1Nu2Q,WWTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,20071678,5.114e+01 +- 6.865e-01,51.1400,392484.9042,,,
,,WWTo2L2Nu,WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,3018000,1.109e+01 +- 7.040e-03,11.0900,272137.0604,,,
,,WWTo4Q,WWTo4Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,19599397,5.115e+01 +- 2.407e-01,51.1500,383174.9169,,,
,WpWp,WpWpJJEWK,WpWpJJ_EWK_TuneCP5_13TeV-madgraph-pythia8,75000,2.842e-02 +- 4.570e-05,0.04932,1520681.2652,,,
,,WpWpJJQCD,WpWpJJ_QCD_TuneCP5_13TeV-madgraph-pythia8,,2.376e-02 +- 3.124e-05,0.0238,0.0000,Not using in my analysis,,
,WZ,WZTo1L1Nu2Q,WZTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,3701521,9.184e+00 +- 4.719e-02,9.1840,403040.1786,,,
,,WZTo2L2Q,WZTo2L2Q_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8,15678816,6.351e+00 +- 9.139e-02,6.3510,2468716.1077,,,
,,WZTo3LNu,WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8,9633623,5.197e+00 +- 1.777e-02,5.1970,1853689.2438,,,
