nbin,nData,TotalBkg,DY,t#bar{t}+x,W+jets/#gamma,WWss,VV,Z#gamma,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.840 ± 0.457,0.440 ± 0.440,0.250 ± 0.113,0.000 ± 0.000,0.007 ± 0.005,0.082 ± 0.034,0.046 ± 0.034,0.005 ± 0.005,0.001 ± 0.000,0.009 ± 0.006,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000
5,42,42.535 ± 4.118,20.247 ± 3.967,9.182 ± 0.667,6.245 ± 0.825,1.530 ± 0.078,2.390 ± 0.181,1.445 ± 0.170,0.687 ± 0.153,0.509 ± 0.048,0.272 ± 0.026,0.026 ± 0.026,0.003 ± 0.001,0.000,0.025,0.000,0.000,0.000,0.000,0.000,7.884,2.439,0.785,0.087,0.011,0.000,0.000
6,44,44.543 ± 3.016,11.979 ± 2.771,9.892 ± 0.675,9.681 ± 0.904,5.472 ± 0.149,3.266 ± 0.227,1.867 ± 0.170,1.170 ± 0.199,0.853 ± 0.067,0.361 ± 0.029,0.000 ± 0.000,0.002 ± 0.001,7.409,0.000,0.000,0.010,0.000,0.000,0.000,12.811,3.062,1.615,0.398,0.054,0.001,0.000
7,56,56.459 ± 4.107,21.576 ± 3.989,6.825 ± 0.584,8.971 ± 0.656,10.722 ± 0.208,3.861 ± 0.250,2.203 ± 0.193,0.969 ± 0.180,0.971 ± 0.069,0.358 ± 0.027,0.001 ± 0.000,0.002 ± 0.001,0.000,0.000,0.016,0.020,0.003,0.001,20.727,5.190,2.136,2.412,1.207,0.262,0.087,1133.915
Total,144.377,144.377 ± 6.568,54.242 ± 6.287,26.148 ± 1.120,24.898 ± 1.388,17.731 ± 0.268,9.599 ± 0.384,5.562 ± 0.310,2.830 ± 0.310,2.334 ± 0.107,1.001 ± 0.048,0.026 ± 0.026,0.006 ± 0.002,7.409,0.025,0.016,0.031,0.003,0.001,20.727,25.885,7.663,4.813,1.692,0.328,0.088,1133.915
