nbin,nData,TotalBkg,t#bar{t}+x,W+jets/#gamma,VV,WWss,Single t,multi-top,VVV,DY,Z#gamma,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,8,8.496 ± 0.653,3.079 ± 0.335,1.455 ± 0.410,1.923 ± 0.221,0.750 ± 0.071,0.240 ± 0.233,0.265 ± 0.031,0.358 ± 0.113,0.000 ± 0.000,0.232 ± 0.077,0.136 ± 0.136,0.061 ± 0.010,0.000,0.430,0.000,0.000,0.000,0.000,0.000,8.881,0.231,0.173,0.000,0.000,0.000,0.000
5,414,414.181 ± 9.100,149.964 ± 2.426,90.092 ± 3.267,90.542 ± 1.499,23.616 ± 0.400,12.541 ± 1.493,11.518 ± 0.208,8.021 ± 0.540,10.176 ± 4.163,9.095 ± 0.589,6.881 ± 6.603,1.734 ± 0.056,192.882,8.941,1.590,0.103,0.002,0.000,3.888,189.976,22.122,5.547,0.817,0.132,0.002,0.000
6,448,448.384 ± 5.670,143.024 ± 2.359,106.697 ± 3.319,106.228 ± 1.616,37.881 ± 0.495,14.414 ± 1.569,12.474 ± 0.221,10.629 ± 0.602,6.902 ± 3.063,7.902 ± 0.521,0.762 ± 0.431,1.472 ± 0.051,171.767,11.641,3.637,0.666,0.033,0.002,7.010,180.117,22.410,13.732,3.191,0.646,0.010,64.648
7,309,309.697 ± 5.627,66.760 ± 1.577,80.707 ± 2.723,71.238 ± 1.329,44.785 ± 0.508,11.279 ± 1.672,8.088 ± 0.173,11.143 ± 0.628,9.750 ± 4.031,4.753 ± 0.414,0.437 ± 0.309,0.757 ± 0.037,11.087,6.801,6.013,2.069,0.409,0.095,1126.705,101.771,12.270,15.245,9.505,1.456,0.583,7577.928
Total,1180.758,1180.758 ± 12.127,362.826 ± 3.749,278.950 ± 5.410,269.931 ± 2.583,107.032 ± 0.818,38.474 ± 2.746,32.345 ± 0.351,30.151 ± 1.030,26.828 ± 6.555,21.982 ± 0.892,8.216 ± 6.626,4.023 ± 0.085,375.735,27.812,11.240,2.837,0.443,0.098,1137.604,480.745,57.033,34.697,13.513,2.234,0.595,7642.576
