nbin,nData,TotalBkg,t#bar{t}+x,WWss,DY,W+jets/#gamma,VV,Single t,Z#gamma,VVV,QCD,multi-top,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.604 ± 0.616,0.210 ± 0.091,0.032 ± 0.011,0.529 ± 0.529,0.445 ± 0.258,0.107 ± 0.037,0.059 ± 0.059,0.040 ± 0.035,0.037 ± 0.015,0.136 ± 0.136,0.010 ± 0.006,0.000 ± 0.000,0.000,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.008,0.000,0.000,0.000,0.000
5,47,47.891 ± 2.911,17.676 ± 0.940,4.299 ± 0.127,9.468 ± 2.552,8.105 ± 0.966,3.680 ± 0.218,1.295 ± 0.215,1.420 ± 0.169,1.301 ± 0.084,0.000 ± 0.000,0.645 ± 0.040,0.003 ± 0.001,10.568,1.575,0.356,0.045,0.003,0.000,1.378,13.894,2.468,0.668,0.078,0.014,0.000,0.000
6,79,79.338 ± 4.124,18.492 ± 0.993,15.362 ± 0.241,18.810 ± 3.599,12.840 ± 0.961,5.253 ± 0.265,2.002 ± 0.261,1.785 ± 0.165,1.845 ± 0.101,1.956 ± 1.383,0.985 ± 0.051,0.008 ± 0.004,28.435,2.147,0.973,0.266,0.009,0.000,2.634,22.662,3.115,1.586,0.354,0.061,0.001,2.724
7,72,72.916 ± 3.094,9.854 ± 0.720,26.427 ± 0.314,12.395 ± 2.798,11.030 ± 0.762,5.202 ± 0.283,2.661 ± 0.565,2.042 ± 0.194,2.004 ± 0.103,0.425 ± 0.311,0.875 ± 0.044,0.003 ± 0.001,4.082,1.576,1.628,0.814,0.193,0.043,535.642,11.108,2.080,2.182,1.242,0.227,0.080,1036.291
Total,201.749,201.749 ± 5.953,46.231 ± 1.548,46.120 ± 0.416,41.202 ± 5.250,32.419 ± 1.583,14.242 ± 0.446,6.016 ± 0.661,5.287 ± 0.307,5.187 ± 0.167,2.517 ± 1.424,2.514 ± 0.078,0.014 ± 0.004,43.085,5.338,2.956,1.125,0.205,0.043,539.655,47.664,7.677,4.444,1.674,0.302,0.081,1039.015
