nbin,nData,TotalBkg,t#bar{t}+x,VV,WWss,Single t,multi-top,VVV,W+jets/#gamma,DY,Higgs,QCD,Z#gamma,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.198 ± 0.177,0.642 ± 0.148,0.269 ± 0.073,0.187 ± 0.036,0.000 ± 0.000,0.040 ± 0.011,0.051 ± 0.051,0.000 ± 0.000,0.000 ± 0.000,0.009 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,54,54.245 ± 1.466,23.681 ± 0.892,15.380 ± 0.554,5.907 ± 0.203,3.770 ± 0.909,2.208 ± 0.082,2.108 ± 0.315,0.503 ± 0.251,0.000 ± 0.000,0.589 ± 0.033,0.099 ± 0.099,0.000 ± 0.000,36.069,4.926,1.046,0.173,0.000,0.000,0.000,36.477,0.450,0.035,0.024,0.007,0.000,0.000
6,55,55.296 ± 2.581,18.704 ± 0.763,19.104 ± 0.620,7.525 ± 0.231,2.153 ± 0.619,2.416 ± 0.081,1.877 ± 0.295,0.775 ± 0.317,2.251 ± 2.251,0.491 ± 0.030,0.000 ± 0.000,0.000 ± 0.000,62.696,4.551,2.322,0.687,0.021,0.001,0.000,28.477,0.333,0.320,0.023,0.010,0.000,6.477
7,33,33.117 ± 1.095,6.756 ± 0.415,12.299 ± 0.500,6.816 ± 0.220,2.375 ± 0.697,1.498 ± 0.057,1.875 ± 0.298,1.202 ± 0.382,0.000 ± 0.000,0.221 ± 0.020,0.012 ± 0.011,0.061 ± 0.061,24.420,3.265,2.713,1.713,0.375,0.074,1044.854,22.057,0.162,0.218,0.150,0.018,0.007,112.941
Total,143.856,143.856 ± 3.169,49.782 ± 1.253,47.051 ± 0.973,20.435 ± 0.380,8.299 ± 1.302,6.162 ± 0.129,5.911 ± 0.527,2.480 ± 0.556,2.251 ± 2.251,1.311 ± 0.049,0.112 ± 0.100,0.061 ± 0.061,123.184,12.802,6.082,2.573,0.395,0.076,1044.854,87.012,0.945,0.573,0.197,0.035,0.007,119.417
