nbin,nData,TotalBkg,DY,t#bar{t}+x,W+jets/#gamma,Z#gamma,VV,WWss,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.815 ± 0.541,0.536 ± 0.536,0.059 ± 0.035,0.048 ± 0.048,0.081 ± 0.038,0.045 ± 0.020,0.030 ± 0.006,0.000 ± 0.000,0.010 ± 0.007,0.006 ± 0.003,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000
5,17,17.833 ± 1.819,6.542 ± 1.693,4.151 ± 0.421,2.433 ± 0.428,2.590 ± 0.246,0.957 ± 0.099,0.603 ± 0.025,0.283 ± 0.105,0.170 ± 0.023,0.102 ± 0.010,0.000 ± 0.000,0.002 ± 0.001,0.000,0.011,0.000,0.000,0.000,0.000,0.000,3.536,1.094,0.352,0.039,0.005,0.000,0.000
6,23,23.211 ± 2.311,8.775 ± 2.190,4.934 ± 0.449,4.171 ± 0.515,2.252 ± 0.223,1.247 ± 0.114,0.848 ± 0.030,0.524 ± 0.119,0.295 ± 0.033,0.164 ± 0.013,0.000 ± 0.000,0.002 ± 0.001,3.323,0.000,0.000,0.005,0.000,0.000,0.000,5.746,1.373,0.724,0.178,0.024,0.000,0.000
7,17,17.331 ± 1.745,5.456 ± 1.550,2.653 ± 0.364,3.388 ± 0.326,1.895 ± 0.194,1.177 ± 0.112,1.132 ± 0.034,1.071 ± 0.593,0.402 ± 0.039,0.144 ± 0.011,0.011 ± 0.011,0.002 ± 0.001,0.000,0.000,0.007,0.009,0.001,0.001,9.296,2.328,0.958,1.082,0.541,0.118,0.039,508.548
Total,59.190,59.190 ± 3.462,21.309 ± 3.217,11.796 ± 0.716,10.039 ± 0.746,6.817 ± 0.386,3.427 ± 0.189,2.614 ± 0.052,1.878 ± 0.613,0.877 ± 0.056,0.416 ± 0.020,0.011 ± 0.011,0.005 ± 0.002,3.323,0.011,0.007,0.014,0.001,0.001,9.296,11.609,3.437,2.158,0.759,0.147,0.039,508.548
