nbin,nData,TotalBkg,t#bar{t}+x,WWss,W+jets/#gamma,VV,DY,Single t,VVV,Z#gamma,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.260 ± 0.082,0.127 ± 0.069,0.007 ± 0.005,0.005 ± 0.005,0.019 ± 0.013,0.000 ± 0.000,0.007 ± 0.007,0.029 ± 0.012,0.058 ± 0.040,0.008 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000
5,21,21.278 ± 1.015,9.339 ± 0.685,2.065 ± 0.091,5.149 ± 0.614,2.120 ± 0.165,0.000 ± 0.000,0.918 ± 0.367,0.612 ± 0.056,0.747 ± 0.100,0.327 ± 0.028,0.000 ± 0.000,0.002 ± 0.001,2.731,0.612,0.107,0.010,0.000,0.000,0.000,12.821,1.550,0.384,0.052,0.011,0.000,0.000
6,33,33.711 ± 1.176,10.328 ± 0.701,7.786 ± 0.177,7.625 ± 0.559,3.083 ± 0.212,1.243 ± 0.660,1.136 ± 0.217,0.989 ± 0.072,1.009 ± 0.108,0.463 ± 0.030,0.046 ± 0.033,0.002 ± 0.001,15.287,0.968,0.264,0.062,0.003,0.000,0.000,17.729,1.687,1.061,0.238,0.053,0.001,2.600
7,35,35.077 ± 2.022,5.906 ± 0.525,12.656 ± 0.226,7.018 ± 0.374,2.681 ± 0.201,3.031 ± 1.756,1.705 ± 0.699,0.930 ± 0.064,0.685 ± 0.070,0.453 ± 0.029,0.009 ± 0.006,0.003 ± 0.001,0.000,0.618,0.580,0.157,0.036,0.008,101.922,2.156,0.995,1.258,0.838,0.120,0.052,667.490
Total,90.327,90.327 ± 2.551,25.700 ± 1.115,22.514 ± 0.301,19.797 ± 0.911,7.903 ± 0.335,4.273 ± 1.876,3.767 ± 0.819,2.560 ± 0.112,2.499 ± 0.168,1.251 ± 0.051,0.055 ± 0.033,0.008 ± 0.001,18.018,2.250,0.951,0.228,0.039,0.008,101.922,32.706,4.233,2.719,1.128,0.183,0.053,670.090
