nbin,nData,TotalBkg,W+jets/#gamma,t#bar{t}+x,VV,WWss,multi-top,Single t,VVV,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.163 ± 0.224,0.479 ± 0.183,0.290 ± 0.091,0.287 ± 0.088,0.072 ± 0.022,0.028 ± 0.010,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.007 ± 0.004,0.000 ± 0.000,0.000,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.058,0.037,0.000,0.000,0.000,0.000
5,50,50.941 ± 1.949,13.850 ± 0.974,16.901 ± 0.728,12.289 ± 0.482,2.382 ± 0.127,1.532 ± 0.077,1.194 ± 0.511,0.360 ± 0.133,1.322 ± 1.322,0.844 ± 0.195,0.265 ± 0.023,0.000 ± 0.000,20.489,1.362,0.215,0.000,0.000,0.000,3.888,22.143,1.632,0.510,0.056,0.010,0.000,0.000
6,54,54.663 ± 1.532,17.270 ± 1.097,14.391 ± 0.677,14.760 ± 0.516,3.219 ± 0.149,1.613 ± 0.077,1.302 ± 0.551,1.024 ± 0.229,0.000 ± 0.000,0.831 ± 0.188,0.252 ± 0.023,0.000 ± 0.000,3.344,1.005,0.573,0.063,0.004,0.000,0.000,16.322,2.540,1.753,0.400,0.066,0.000,5.593
7,35,35.847 ± 1.584,12.645 ± 0.932,6.411 ± 0.455,9.496 ± 0.417,3.190 ± 0.148,0.973 ± 0.054,0.903 ± 0.474,0.962 ± 0.226,0.975 ± 0.975,0.182 ± 0.091,0.109 ± 0.015,0.000 ± 0.000,0.000,0.860,0.582,0.250,0.053,0.015,104.454,30.433,1.739,1.800,0.919,0.168,0.055,822.707
Total,142.614,142.614 ± 2.951,44.245 ± 1.748,37.994 ± 1.097,36.832 ± 0.825,8.864 ± 0.247,4.146 ± 0.122,3.399 ± 0.889,2.346 ± 0.348,2.297 ± 1.642,1.857 ± 0.286,0.634 ± 0.036,0.000 ± 0.000,23.833,3.279,1.370,0.314,0.057,0.015,108.343,68.898,5.969,4.101,1.375,0.244,0.055,828.300
