nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,WWss,multi-top,VVV,DY,Single t,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.220 ± 0.228,0.223 ± 0.060,0.441 ± 0.135,0.372 ± 0.145,0.055 ± 0.020,0.032 ± 0.013,0.094 ± 0.094,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.003 ± 0.002,0.000 ± 0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,27,27.776 ± 1.344,7.594 ± 0.330,9.872 ± 0.580,4.553 ± 0.523,1.898 ± 0.108,0.863 ± 0.073,1.032 ± 0.239,0.955 ± 0.955,0.485 ± 0.301,0.337 ± 0.107,0.187 ± 0.018,0.000 ± 0.000,0.000,1.488,0.177,0.045,0.004,0.000,0.000,16.536,0.989,0.212,0.041,0.002,0.000,0.000
6,28,28.231 ± 1.331,8.115 ± 0.344,7.738 ± 0.491,6.042 ± 0.610,2.444 ± 0.122,0.806 ± 0.066,0.828 ± 0.210,1.299 ± 0.921,0.544 ± 0.351,0.209 ± 0.075,0.180 ± 0.018,0.026 ± 0.026,0.000,1.492,1.157,0.132,0.004,0.002,0.000,19.849,0.902,0.344,0.079,0.008,0.000,4.222
7,16,16.556 ± 0.752,6.527 ± 0.402,3.417 ± 0.362,3.140 ± 0.453,2.096 ± 0.118,0.640 ± 0.094,0.318 ± 0.114,0.000 ± 0.000,0.325 ± 0.180,0.015 ± 0.015,0.078 ± 0.012,0.000 ± 0.000,0.000,1.164,0.845,0.822,0.152,0.042,477.793,7.876,0.477,0.436,0.199,0.030,0.013,127.463
Total,73.783,73.783 ± 2.049,22.459 ± 0.626,21.467 ± 0.853,14.108 ± 0.933,6.494 ± 0.203,2.341 ± 0.136,2.272 ± 0.351,2.254 ± 1.327,1.354 ± 0.496,0.561 ± 0.131,0.448 ± 0.028,0.026 ± 0.026,0.000,4.223,2.180,0.999,0.160,0.044,477.793,44.261,2.369,0.991,0.318,0.040,0.013,131.684
