nbin,nData,TotalBkg,VV,t#bar{t}+x,WWss,VVV,multi-top,DY,Single t,W+jets/#gamma,Higgs,Z#gamma,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.392 ± 0.103,0.083 ± 0.029,0.076 ± 0.044,0.065 ± 0.020,0.121 ± 0.086,0.032 ± 0.011,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.015 ± 0.006,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,26,26.347 ± 1.685,7.925 ± 0.286,8.802 ± 0.572,2.825 ± 0.137,0.898 ± 0.221,1.179 ± 0.065,1.923 ± 1.368,1.869 ± 0.669,0.547 ± 0.195,0.332 ± 0.026,0.045 ± 0.045,0.000 ± 0.000,24.489,2.490,0.424,0.056,0.002,0.000,0.000,17.424,0.113,0.000,0.000,0.000,0.000,0.000
6,25,25.277 ± 1.461,9.420 ± 0.322,7.889 ± 0.534,3.513 ± 0.153,1.009 ± 0.236,1.270 ± 0.064,1.259 ± 1.259,0.450 ± 0.252,0.207 ± 0.120,0.261 ± 0.023,0.000 ± 0.000,0.000 ± 0.000,19.265,2.186,1.389,0.215,0.014,0.001,0.000,23.503,0.143,0.100,0.020,0.008,0.000,0.000
7,15,15.480 ± 0.619,5.764 ± 0.246,3.504 ± 0.357,3.272 ± 0.149,1.380 ± 0.275,0.836 ± 0.046,0.000 ± 0.000,0.424 ± 0.289,0.177 ± 0.105,0.123 ± 0.016,0.000 ± 0.000,0.000 ± 0.000,13.532,1.109,1.007,0.906,0.152,0.037,554.985,16.875,0.094,0.129,0.080,0.008,0.003,67.750
Total,67.495,67.495 ± 2.317,23.191 ± 0.497,20.271 ± 0.861,9.675 ± 0.254,3.408 ± 0.433,3.317 ± 0.102,3.181 ± 1.859,2.743 ± 0.771,0.931 ± 0.252,0.732 ± 0.039,0.045 ± 0.045,0.000 ± 0.000,57.286,5.786,2.857,1.177,0.168,0.039,554.985,57.802,0.350,0.229,0.100,0.016,0.003,67.750
