nbin,nData,TotalBkg,t#bar{t}+x,DY,W+jets/#gamma,WWss,VV,Z#gamma,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,9,9.250 ± 1.376,1.954 ± 0.278,3.248 ± 1.264,1.428 ± 0.408,0.595 ± 0.041,0.539 ± 0.071,0.939 ± 0.148,0.078 ± 0.060,0.250 ± 0.032,0.082 ± 0.011,0.136 ± 0.136,0.001 ± 0.000,0.000,0.265,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.054,0.000,0.000,0.000,0.000
5,308,308.077 ± 6.801,107.533 ± 2.180,58.470 ± 5.961,49.147 ± 2.160,26.521 ± 0.299,23.261 ± 0.500,23.123 ± 0.720,8.156 ± 0.637,7.714 ± 0.188,4.040 ± 0.083,0.068 ± 0.046,0.046 ± 0.008,69.214,10.317,2.332,0.297,0.022,0.000,9.028,90.999,16.163,4.376,0.514,0.093,0.001,0.000
6,408,408.640 ± 7.162,119.614 ± 2.303,65.431 ± 6.141,72.526 ± 2.133,62.514 ± 0.485,34.320 ± 0.629,21.911 ± 0.659,12.222 ± 0.728,11.761 ± 0.234,5.781 ± 0.096,2.499 ± 1.438,0.060 ± 0.009,186.228,14.060,6.371,1.739,0.058,0.001,17.253,148.418,20.402,10.389,2.317,0.397,0.008,17.843
7,385,385.152 ± 7.230,69.841 ± 1.768,67.922 ± 6.536,66.472 ± 1.663,98.415 ± 0.603,31.639 ± 0.619,18.002 ± 0.582,13.562 ± 1.553,13.244 ± 0.243,5.526 ± 0.088,0.493 ± 0.313,0.036 ± 0.007,26.736,10.319,10.659,5.333,1.265,0.282,3508.063,72.748,13.623,14.289,8.132,1.487,0.525,6786.941
Total,1111.118,1111.118 ± 12.318,298.942 ± 3.642,195.071 ± 10.843,189.572 ± 3.485,188.045 ± 0.831,89.759 ± 1.017,63.975 ± 1.146,34.018 ± 1.830,32.969 ± 0.387,15.428 ± 0.155,3.196 ± 1.479,0.143 ± 0.014,282.177,34.961,19.362,7.369,1.344,0.283,3534.344,312.165,50.277,29.108,10.963,1.977,0.534,6804.784
