nbin,nData,TotalBkg,WWss,t#bar{t}+x,VV,VVV,Single t,multi-top,W+jets/#gamma,Z#gamma,Higgs,QCD,DY,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.069 ± 0.021,0.016 ± 0.008,0.005 ± 0.004,0.033 ± 0.017,0.013 ± 0.010,0.000 ± 0.000,0.001 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,5,5.178 ± 0.396,1.269 ± 0.068,2.644 ± 0.371,0.524 ± 0.067,0.331 ± 0.041,0.198 ± 0.086,0.176 ± 0.021,0.000 ± 0.000,0.036 ± 0.024,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,5.181,0.663,0.169,0.016,0.002,0.000,1.378,1.382,0.063,0.000,0.005,0.000,0.000,0.000
6,10,10.224 ± 0.491,4.650 ± 0.133,3.583 ± 0.443,0.686 ± 0.074,0.511 ± 0.052,0.330 ± 0.119,0.314 ± 0.030,0.126 ± 0.060,0.023 ± 0.018,0.001 ± 0.001,0.000 ± 0.000,0.000 ± 0.000,9.249,0.986,0.445,0.113,0.004,0.000,2.634,1.289,0.065,0.025,0.005,0.001,0.000,0.000
7,11,11.645 ± 0.419,7.709 ± 0.171,2.132 ± 0.349,0.646 ± 0.090,0.533 ± 0.055,0.275 ± 0.105,0.223 ± 0.021,0.113 ± 0.043,0.013 ± 0.011,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,4.082,0.744,0.669,0.388,0.082,0.018,206.425,2.746,0.000,0.059,0.013,0.006,0.002,19.241
Total,27.115,27.115 ± 0.757,13.644 ± 0.227,8.364 ± 0.675,1.889 ± 0.136,1.388 ± 0.087,0.804 ± 0.180,0.714 ± 0.042,0.239 ± 0.074,0.071 ± 0.032,0.002 ± 0.001,0.000 ± 0.000,0.000 ± 0.000,18.512,2.406,1.283,0.518,0.087,0.018,210.438,5.416,0.128,0.084,0.023,0.007,0.002,19.241
