nbin,nData,TotalBkg,t#bar{t}+x,VV,WWss,VVV,multi-top,Single t,W+jets/#gamma,DY,Higgs,Z#gamma,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,4,4.092 ± 0.318,1.805 ± 0.245,1.051 ± 0.150,0.678 ± 0.065,0.290 ± 0.112,0.178 ± 0.024,0.004 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.057 ± 0.010,0.030 ± 0.030,0.000 ± 0.000,0.000,0.261,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,209,209.639 ± 3.084,90.464 ± 1.840,56.146 ± 1.083,27.293 ± 0.430,8.734 ± 0.581,8.531 ± 0.168,10.436 ± 1.436,3.474 ± 0.648,1.923 ± 1.368,1.956 ± 0.059,0.448 ± 0.136,0.235 ± 0.166,158.219,20.690,4.375,0.546,0.024,0.001,17.754,105.098,2.038,0.086,0.071,0.011,0.000,0.000
6,226,226.699 ± 3.670,82.464 ± 1.744,66.989 ± 1.173,42.017 ± 0.510,9.489 ± 0.576,9.446 ± 0.163,6.596 ± 0.976,3.315 ± 0.626,4.423 ± 2.661,1.674 ± 0.054,0.285 ± 0.071,0.000 ± 0.000,251.138,22.532,11.142,2.647,0.100,0.004,33.930,112.878,1.548,0.767,0.141,0.033,0.003,6.477
7,157,157.372 ± 2.104,34.160 ± 1.085,45.146 ± 0.956,50.514 ± 0.538,10.262 ± 0.591,6.408 ± 0.119,6.337 ± 1.147,3.379 ± 0.594,0.000 ± 0.000,0.705 ± 0.036,0.436 ± 0.115,0.026 ± 0.014,86.266,15.323,13.617,8.414,1.723,0.382,4676.845,74.297,0.257,1.257,0.449,0.102,0.038,465.526
Total,597.802,597.802 ± 5.245,208.893 ± 2.768,169.332 ± 1.867,120.502 ± 0.860,28.775 ± 1.016,24.562 ± 0.264,23.372 ± 2.081,10.168 ± 1.079,6.346 ± 2.992,4.391 ± 0.089,1.199 ± 0.194,0.261 ± 0.166,495.623,58.806,29.170,11.607,1.846,0.386,4728.530,292.274,3.842,2.110,0.661,0.147,0.041,472.002
