nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,DY,WWss,multi-top,VVV,Single t,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,25,25.982 ± 1.667,6.323 ± 0.399,7.687 ± 0.514,5.214 ± 0.787,2.187 ± 1.266,1.992 ± 0.124,0.912 ± 0.060,1.044 ± 0.232,0.233 ± 0.233,0.199 ± 0.092,0.191 ± 0.018,0.000 ± 0.000,0.000,0.643,0.036,0.000,0.000,0.000,0.000,8.881,1.115,0.203,0.000,0.000,0.000,0.000
5,1126,1126.361 ± 26.824,270.449 ± 2.604,332.662 ± 3.440,185.011 ± 4.841,161.833 ± 24.983,63.380 ± 0.718,32.600 ± 0.359,22.451 ± 1.047,28.179 ± 2.444,15.652 ± 1.044,6.106 ± 0.104,8.038 ± 6.670,422.722,36.748,7.370,0.858,0.033,0.001,12.615,490.744,57.952,12.210,1.642,0.264,0.003,0.000
6,1135,1135.746 ± 22.507,312.699 ± 2.823,297.438 ± 3.210,211.396 ± 5.163,129.719 ± 21.294,78.493 ± 0.803,33.814 ± 0.362,25.800 ± 1.113,24.597 ± 2.252,16.133 ± 1.033,5.373 ± 0.098,0.284 ± 0.180,468.749,36.370,17.835,4.134,0.187,0.012,45.973,453.401,54.903,27.789,6.164,1.034,0.016,95.971
7,767,767.586 ± 27.233,213.165 ± 2.367,125.943 ± 2.007,143.772 ± 4.213,131.904 ± 26.607,76.103 ± 0.796,21.071 ± 0.297,25.844 ± 1.117,16.649 ± 1.909,10.457 ± 0.836,2.506 ± 0.067,0.172 ± 0.094,106.806,23.857,22.635,12.757,2.808,0.640,8106.093,243.885,33.637,35.410,19.796,3.476,1.210,16201.493
Total,3055.675,3055.675 ± 44.390,802.635 ± 4.529,763.729 ± 5.141,545.394 ± 8.274,425.643 ± 42.275,219.967 ± 1.345,88.397 ± 0.593,75.139 ± 1.907,69.658 ± 3.839,42.442 ± 1.692,14.176 ± 0.159,8.494 ± 6.673,998.276,97.618,47.876,17.749,3.028,0.653,8164.681,1196.910,147.607,75.612,27.602,4.774,1.229,16297.464
