nbin,nData,TotalBkg,t#bar{t}+x,VV,W+jets/#gamma,WWss,multi-top,Single t,VVV,QCD,DY,Z#gamma,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.726 ± 0.396,1.073 ± 0.203,0.721 ± 0.146,0.178 ± 0.178,0.244 ± 0.048,0.104 ± 0.020,0.233 ± 0.233,0.145 ± 0.079,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.028 ± 0.007,0.000,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.065,0.052,0.000,0.000,0.000,0.000
5,141,141.562 ± 8.047,45.927 ± 1.333,34.841 ± 1.073,28.865 ± 2.287,7.309 ± 0.270,4.242 ± 0.126,5.442 ± 1.093,2.878 ± 0.373,6.733 ± 6.602,3.387 ± 3.387,1.178 ± 0.341,0.759 ± 0.036,48.389,2.065,0.518,0.033,0.000,0.000,0.000,67.971,7.199,1.595,0.256,0.050,0.001,0.000
6,133,133.786 ± 3.052,42.956 ± 1.271,39.824 ± 1.154,29.053 ± 2.273,8.946 ± 0.301,4.505 ± 0.126,3.765 ± 0.910,2.984 ± 0.377,0.134 ± 0.134,0.000 ± 0.000,1.063 ± 0.321,0.557 ± 0.030,77.647,3.584,0.992,0.206,0.011,0.001,0.000,68.314,6.908,4.137,0.833,0.206,0.004,8.743
7,84,84.037 ± 3.995,17.740 ± 0.776,25.891 ± 0.949,19.428 ± 1.866,8.556 ± 0.296,2.728 ± 0.090,2.095 ± 0.687,3.213 ± 0.390,0.017 ± 0.016,3.190 ± 3.190,0.855 ± 0.286,0.326 ± 0.023,8.276,1.995,1.951,0.509,0.127,0.028,333.120,7.250,3.346,4.274,2.768,0.413,0.173,2287.163
Total,362.112,362.112 ± 9.497,107.696 ± 2.009,101.277 ± 1.845,77.524 ± 3.730,25.055 ± 0.504,11.579 ± 0.201,11.534 ± 1.597,9.220 ± 0.663,6.884 ± 6.604,6.577 ± 4.653,3.096 ± 0.549,1.671 ± 0.053,134.312,7.736,3.461,0.748,0.138,0.028,333.120,143.535,17.518,10.059,3.857,0.669,0.177,2295.905
