nbin,nData,TotalBkg,DY,W+jets/#gamma,VV,t#bar{t}+x,Z#gamma,WWss,multi-top,VVV,Single t,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.694 ± 1.006,1.384 ± 0.979,0.499 ± 0.189,0.272 ± 0.052,0.325 ± 0.099,0.096 ± 0.068,0.033 ± 0.015,0.035 ± 0.012,0.047 ± 0.040,0.000 ± 0.000,0.004 ± 0.003,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.223,0.000,0.000,0.000,0.000,0.000
5,78,78.721 ± 4.854,31.980 ± 4.643,13.888 ± 0.987,11.393 ± 0.466,14.992 ± 0.718,2.030 ± 0.299,1.760 ± 0.110,1.224 ± 0.071,0.627 ± 0.189,0.635 ± 0.397,0.193 ± 0.020,0.000 ± 0.000,3.604,0.110,0.000,0.000,0.000,0.000,0.000,12.214,4.777,1.001,0.148,0.027,0.001,0.000
6,79,79.224 ± 4.972,28.152 ± 4.743,16.106 ± 1.067,13.893 ± 0.542,13.166 ± 0.667,2.599 ± 0.340,2.088 ± 0.121,1.259 ± 0.069,0.899 ± 0.212,0.877 ± 0.406,0.186 ± 0.020,0.000 ± 0.000,17.019,0.000,0.000,0.012,0.000,0.001,0.000,41.661,5.360,2.376,0.497,0.087,0.000,0.000
7,65,65.082 ± 5.118,30.214 ± 4.951,11.969 ± 0.917,10.318 ± 0.494,5.871 ± 0.440,1.748 ± 0.276,2.160 ± 0.124,0.740 ± 0.047,1.115 ± 0.244,0.867 ± 0.501,0.079 ± 0.013,0.000 ± 0.000,0.000,0.058,0.000,0.034,0.006,0.001,4.969,3.865,3.173,3.222,1.927,0.327,0.117,1778.179
Total,225.721,225.721 ± 8.688,91.730 ± 8.338,42.462 ± 1.729,35.876 ± 0.871,34.354 ± 1.078,6.474 ± 0.534,6.040 ± 0.205,3.257 ± 0.110,2.687 ± 0.377,2.379 ± 0.758,0.462 ± 0.031,0.000 ± 0.000,20.622,0.167,0.000,0.046,0.006,0.001,4.969,57.740,13.533,6.599,2.573,0.441,0.119,1778.179
