nbin,nData,TotalBkg,WWss,t#bar{t}+x,VV,VVV,multi-top,Single t,W+jets/#gamma,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.149 ± 0.055,0.013 ± 0.007,0.078 ± 0.051,0.030 ± 0.016,0.020 ± 0.010,0.005 ± 0.002,0.004 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,10,10.238 ± 0.581,2.312 ± 0.096,5.323 ± 0.539,1.112 ± 0.100,0.568 ± 0.056,0.374 ± 0.031,0.313 ± 0.113,0.216 ± 0.109,0.000 ± 0.000,0.016 ± 0.010,0.002 ± 0.001,0.003 ± 0.003,9.754,1.249,0.318,0.031,0.003,0.000,2.595,2.601,0.119,0.000,0.009,0.001,0.000,0.000
6,18,18.518 ± 0.741,8.291 ± 0.181,6.168 ± 0.586,1.531 ± 0.118,1.065 ± 0.075,0.449 ± 0.033,0.452 ± 0.115,0.166 ± 0.055,0.368 ± 0.368,0.024 ± 0.017,0.003 ± 0.001,0.000 ± 0.000,17.414,1.855,0.837,0.213,0.007,0.000,4.960,2.427,0.122,0.047,0.010,0.002,0.000,0.000
7,20,20.982 ± 0.568,13.919 ± 0.236,3.116 ± 0.412,1.373 ± 0.110,1.026 ± 0.071,0.507 ± 0.034,0.440 ± 0.165,0.504 ± 0.220,0.000 ± 0.000,0.092 ± 0.050,0.002 ± 0.001,0.001 ± 0.001,7.686,1.401,1.260,0.730,0.155,0.034,388.650,5.170,0.000,0.111,0.025,0.011,0.003,36.226
Total,49.887,49.887 ± 1.101,24.535 ± 0.313,14.685 ± 0.898,4.046 ± 0.190,2.679 ± 0.119,1.336 ± 0.056,1.209 ± 0.230,0.886 ± 0.252,0.368 ± 0.368,0.133 ± 0.054,0.006 ± 0.001,0.005 ± 0.004,34.854,4.530,2.415,0.974,0.165,0.035,396.205,10.198,0.241,0.159,0.044,0.014,0.004,36.226
