nbin,nData,TotalBkg,DY,VV,W+jets/#gamma,t#bar{t}+x,WWss,Z#gamma,multi-top,VVV,Single t,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.440 ± 0.290,0.000 ± 0.000,0.339 ± 0.077,0.507 ± 0.254,0.299 ± 0.093,0.103 ± 0.026,0.000 ± 0.000,0.087 ± 0.018,0.096 ± 0.064,0.000 ± 0.000,0.009 ± 0.004,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.038,0.000,0.000,0.000,0.000
5,112,112.626 ± 11.888,36.812 ± 11.699,22.761 ± 0.753,20.818 ± 1.629,20.011 ± 0.772,3.667 ± 0.160,2.634 ± 0.428,2.284 ± 0.088,1.615 ± 0.270,1.733 ± 0.595,0.292 ± 0.023,0.000 ± 0.000,7.113,0.291,0.034,0.000,0.002,0.000,0.000,53.623,9.424,1.906,0.194,0.045,0.000,0.000
6,104,104.896 ± 9.023,21.370 ± 8.749,26.011 ± 0.805,24.051 ± 1.744,19.423 ± 0.748,4.513 ± 0.179,3.784 ± 0.516,2.491 ± 0.089,1.751 ± 0.281,1.218 ± 0.486,0.275 ± 0.022,0.007 ± 0.007,23.645,0.217,0.146,0.000,0.004,0.000,5.735,33.966,7.529,3.892,0.789,0.123,0.002,5.923
7,87,87.229 ± 10.651,31.278 ± 10.486,18.188 ± 0.692,17.825 ± 1.511,8.792 ± 0.504,4.583 ± 0.181,2.292 ± 0.400,1.513 ± 0.063,1.599 ± 0.267,1.011 ± 0.452,0.146 ± 0.016,0.001 ± 0.001,6.034,0.229,0.077,0.034,0.011,0.003,17.670,0.000,6.212,6.272,3.428,0.559,0.186,2700.461
Total,306.190,306.190 ± 18.338,89.460 ± 17.982,67.299 ± 1.304,63.201 ± 2.836,48.524 ± 1.191,12.867 ± 0.301,8.710 ± 0.781,6.375 ± 0.141,5.061 ± 0.477,3.961 ± 0.891,0.722 ± 0.036,0.009 ± 0.007,36.791,0.737,0.256,0.034,0.017,0.003,23.405,87.589,23.275,12.108,4.411,0.728,0.188,2706.384
