nbin,nData,TotalBkg,DY,t#bar{t}+x,W+jets/#gamma,Z#gamma,VV,WWss,Single t,VVV,multi-top,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.414 ± 0.832,1.315 ± 0.808,0.365 ± 0.133,0.201 ± 0.114,0.383 ± 0.088,0.053 ± 0.016,0.065 ± 0.015,0.000 ± 0.000,0.026 ± 0.008,0.006 ± 0.002,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000
5,53,53.659 ± 2.962,17.622 ± 2.703,13.006 ± 0.724,8.254 ± 0.837,7.773 ± 0.423,3.184 ± 0.184,2.101 ± 0.085,0.786 ± 0.143,0.569 ± 0.045,0.350 ± 0.018,0.014 ± 0.006,0.000 ± 0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.000,11.817,3.656,1.177,0.130,0.017,0.000,0.000
6,67,67.021 ± 3.208,20.015 ± 2.944,16.661 ± 0.835,12.354 ± 0.805,7.763 ± 0.422,4.671 ± 0.230,2.734 ± 0.097,1.328 ± 0.181,0.975 ± 0.061,0.507 ± 0.022,0.014 ± 0.005,0.000 ± 0.000,11.106,0.000,0.000,0.015,0.000,0.000,0.000,19.203,4.590,2.421,0.596,0.082,0.001,0.000
7,60,60.413 ± 3.390,21.000 ± 3.229,9.392 ± 0.606,12.283 ± 0.669,7.149 ± 0.391,4.197 ± 0.219,3.361 ± 0.107,1.350 ± 0.176,1.196 ± 0.065,0.480 ± 0.019,0.005 ± 0.002,0.000 ± 0.000,0.000,0.000,0.025,0.030,0.004,0.002,31.068,7.780,3.201,3.616,1.809,0.393,0.130,1699.643
Total,183.507,183.507 ± 5.590,59.952 ± 5.201,39.424 ± 1.267,33.093 ± 1.345,23.068 ± 0.719,12.105 ± 0.367,8.260 ± 0.168,3.465 ± 0.290,2.765 ± 0.100,1.343 ± 0.034,0.033 ± 0.008,0.000 ± 0.000,11.106,0.037,0.025,0.046,0.004,0.002,31.068,38.800,11.486,7.214,2.536,0.492,0.131,1699.643
