nbin,nData,TotalBkg,t#bar{t}+x,W+jets/#gamma,WWss,VV,Z#gamma,Single t,VVV,DY,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.915 ± 0.201,0.334 ± 0.112,0.244 ± 0.152,0.113 ± 0.020,0.047 ± 0.018,0.136 ± 0.064,0.000 ± 0.000,0.027 ± 0.010,0.000 ± 0.000,0.013 ± 0.003,0.000 ± 0.000,0.000 ± 0.000,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.000
5,31,31.728 ± 1.099,13.672 ± 0.761,6.513 ± 0.630,2.845 ± 0.100,2.620 ± 0.155,3.278 ± 0.263,1.039 ± 0.176,1.010 ± 0.065,0.302 ± 0.302,0.441 ± 0.021,0.000 ± 0.000,0.006 ± 0.003,4.093,0.918,0.161,0.015,0.000,0.000,0.000,19.218,2.324,0.576,0.077,0.016,0.000,0.000
6,43,43.432 ± 1.496,16.956 ± 0.842,10.431 ± 0.635,3.737 ± 0.145,4.224 ± 0.201,2.450 ± 0.192,1.929 ± 0.439,1.248 ± 0.071,1.390 ± 0.824,0.653 ± 0.024,0.411 ± 0.388,0.006 ± 0.002,22.914,1.451,0.395,0.093,0.004,0.000,0.000,26.574,2.529,1.590,0.357,0.079,0.002,3.897
7,33,33.432 ± 1.334,10.245 ± 0.671,9.504 ± 0.430,4.142 ± 0.120,3.499 ± 0.184,1.032 ± 0.099,1.397 ± 0.276,1.480 ± 0.077,1.533 ± 1.001,0.587 ± 0.022,0.008 ± 0.006,0.004 ± 0.002,0.000,0.926,0.870,0.235,0.054,0.012,152.773,3.232,1.492,1.886,1.256,0.180,0.077,1000.511
Total,109.508,109.508 ± 2.295,41.207 ± 1.323,26.692 ± 1.005,10.838 ± 0.214,10.391 ± 0.314,6.896 ± 0.346,4.364 ± 0.548,3.765 ± 0.124,3.225 ± 1.331,1.694 ± 0.039,0.418 ± 0.388,0.017 ± 0.004,27.008,3.372,1.426,0.342,0.058,0.012,152.773,49.023,6.345,4.075,1.690,0.275,0.079,1004.409
