nbin,nData,TotalBkg,t#bar{t}+x,VV,W+jets/#gamma,WWss,multi-top,Single t,VVV,DY,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.984 ± 0.294,0.749 ± 0.163,0.610 ± 0.128,0.276 ± 0.196,0.208 ± 0.038,0.062 ± 0.015,0.000 ± 0.000,0.057 ± 0.057,0.000 ± 0.000,0.000 ± 0.000,0.021 ± 0.006,0.000 ± 0.000,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.108,0.000,0.000,0.000,0.000,0.000
5,96,96.303 ± 2.305,35.243 ± 1.146,25.933 ± 0.781,21.491 ± 1.656,5.008 ± 0.187,3.139 ± 0.103,2.287 ± 0.662,1.575 ± 0.273,0.000 ± 0.000,1.031 ± 0.266,0.468 ± 0.029,0.126 ± 0.126,85.974,2.606,0.257,0.036,0.002,0.000,0.000,52.483,5.545,1.244,0.235,0.027,0.001,0.000
6,102,102.373 ± 3.600,31.764 ± 1.084,28.355 ± 0.806,22.782 ± 1.708,6.493 ± 0.215,3.163 ± 0.099,3.339 ± 0.836,2.591 ± 0.344,2.700 ± 2.700,0.750 ± 0.227,0.437 ± 0.028,0.000 ± 0.000,37.599,2.735,0.870,0.124,0.008,0.001,7.010,29.243,4.958,2.812,0.777,0.131,0.001,27.794
7,60,60.960 ± 1.843,14.195 ± 0.697,19.252 ± 0.684,14.824 ± 1.363,5.888 ± 0.206,1.992 ± 0.073,1.766 ± 0.630,2.197 ± 0.313,0.000 ± 0.000,0.606 ± 0.202,0.225 ± 0.020,0.013 ± 0.013,0.000,1.212,0.980,0.566,0.077,0.017,242.223,47.832,2.684,3.293,2.031,0.340,0.131,1490.005
Total,261.620,261.620 ± 4.664,81.951 ± 1.732,74.151 ± 1.320,59.372 ± 2.749,17.597 ± 0.354,8.356 ± 0.161,7.393 ± 1.239,6.421 ± 0.542,2.700 ± 2.700,2.388 ± 0.404,1.151 ± 0.046,0.140 ± 0.127,123.573,6.613,2.107,0.726,0.086,0.018,249.233,129.558,13.295,7.349,3.043,0.498,0.133,1517.799
