nbin,nData,TotalBkg,t#bar{t}+x,W+jets/#gamma,DY,WWss,Z#gamma,VV,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.198 ± 0.545,0.190 ± 0.069,0.048 ± 0.048,0.536 ± 0.536,0.158 ± 0.013,0.122 ± 0.042,0.079 ± 0.024,0.000 ± 0.000,0.053 ± 0.014,0.012 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.007,0.000,0.000,0.000,0.000
5,43,43.690 ± 2.511,13.509 ± 0.738,6.804 ± 0.763,9.592 ± 2.235,3.488 ± 0.062,4.841 ± 0.338,2.962 ± 0.169,1.016 ± 0.174,0.919 ± 0.060,0.556 ± 0.025,0.000 ± 0.000,0.005 ± 0.002,8.924,1.330,0.301,0.038,0.003,0.000,1.164,11.732,2.084,0.564,0.066,0.012,0.000,0.000
6,49,49.131 ± 2.474,14.660 ± 0.746,9.727 ± 0.774,8.775 ± 2.190,4.362 ± 0.069,3.685 ± 0.273,4.347 ± 0.210,1.303 ± 0.195,1.448 ± 0.076,0.763 ± 0.029,0.054 ± 0.054,0.007 ± 0.003,24.010,1.813,0.821,0.224,0.007,0.000,2.224,19.136,2.630,1.339,0.299,0.051,0.001,2.301
7,40,40.083 ± 2.074,8.626 ± 0.598,8.819 ± 0.601,5.799 ± 1.588,5.423 ± 0.077,2.888 ± 0.237,3.769 ± 0.195,2.323 ± 0.978,1.672 ± 0.082,0.718 ± 0.026,0.042 ± 0.027,0.005 ± 0.004,3.447,1.330,1.374,0.688,0.163,0.036,452.295,9.379,1.756,1.842,1.048,0.192,0.068,875.041
Total,134.103,134.103 ± 4.126,36.986 ± 1.210,25.398 ± 1.243,24.702 ± 3.550,13.431 ± 0.121,11.535 ± 0.497,11.157 ± 0.333,4.642 ± 1.012,4.092 ± 0.128,2.048 ± 0.047,0.095 ± 0.060,0.017 ± 0.005,36.381,4.508,2.496,0.950,0.173,0.037,455.683,40.247,6.482,3.753,1.413,0.255,0.069,877.342
