nbin,nData,TotalBkg,t#bar{t}+x,VV,WWss,VVV,Single t,multi-top,W+jets/#gamma,Higgs,Z#gamma,QCD,DY,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.459 ± 0.113,0.204 ± 0.095,0.103 ± 0.031,0.078 ± 0.022,0.052 ± 0.047,0.000 ± 0.000,0.013 ± 0.005,0.000 ± 0.000,0.009 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,22,22.885 ± 0.950,10.810 ± 0.681,6.370 ± 0.258,2.400 ± 0.124,0.827 ± 0.220,1.155 ± 0.539,0.900 ± 0.073,0.176 ± 0.110,0.246 ± 0.021,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,5.287,2.321,0.328,0.069,0.001,0.000,0.000,8.491,0.259,0.000,0.000,0.000,0.000,0.000
6,21,21.969 ± 0.848,8.669 ± 0.607,7.501 ± 0.263,2.824 ± 0.135,0.848 ± 0.215,0.828 ± 0.450,0.829 ± 0.058,0.222 ± 0.100,0.217 ± 0.019,0.032 ± 0.032,0.000 ± 0.000,0.000 ± 0.000,35.747,2.228,0.989,0.171,0.014,0.001,0.000,27.529,0.086,0.023,0.011,0.000,0.000,0.000
7,12,12.773 ± 0.544,3.072 ± 0.334,5.108 ± 0.215,2.620 ± 0.128,0.715 ± 0.186,0.356 ± 0.246,0.408 ± 0.039,0.396 ± 0.157,0.093 ± 0.012,0.000 ± 0.000,0.006 ± 0.006,0.000 ± 0.000,3.715,1.361,1.331,0.835,0.129,0.037,418.507,0.000,0.000,0.148,0.050,0.008,0.005,37.014
Total,58.087,58.087 ± 1.389,22.755 ± 0.976,19.082 ± 0.427,7.922 ± 0.225,2.442 ± 0.363,2.339 ± 0.744,2.150 ± 0.101,0.794 ± 0.216,0.566 ± 0.031,0.032 ± 0.032,0.006 ± 0.006,0.000 ± 0.000,44.749,5.943,2.648,1.074,0.144,0.038,418.507,36.019,0.345,0.171,0.061,0.008,0.005,37.014
