nbin,nData,TotalBkg,DY,VV,W+jets/#gamma,t#bar{t}+x,WWss,Z#gamma,multi-top,VVV,Single t,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2,2.939 ± 0.448,0.000 ± 0.000,1.105 ± 0.191,0.732 ± 0.366,0.795 ± 0.162,0.149 ± 0.037,0.000 ± 0.000,0.086 ± 0.019,0.062 ± 0.052,0.000 ± 0.000,0.012 ± 0.004,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.247,0.045,0.000,0.000,0.000,0.000
5,170,170.920 ± 20.917,65.361 ± 20.733,31.958 ± 1.027,25.767 ± 2.144,32.353 ± 1.091,4.724 ± 0.216,3.971 ± 0.629,3.154 ± 0.109,1.742 ± 0.280,1.460 ± 0.526,0.431 ± 0.027,0.000 ± 0.000,44.468,0.165,0.000,0.000,0.000,0.000,0.000,26.508,11.733,3.091,0.365,0.038,0.001,0.000
6,175,175.265 ± 18.356,56.730 ± 18.088,36.412 ± 1.109,35.323 ± 2.510,28.882 ± 1.020,5.775 ± 0.240,2.786 ± 0.529,3.307 ± 0.108,2.419 ± 0.334,3.200 ± 0.857,0.431 ± 0.027,0.000 ± 0.000,33.860,0.000,0.000,0.049,0.003,0.000,0.000,43.076,12.062,6.193,1.465,0.219,0.002,9.329
7,121,121.209 ± 23.205,44.934 ± 23.079,26.523 ± 0.962,21.382 ± 1.950,14.047 ± 0.678,6.802 ± 0.264,2.201 ± 0.471,2.037 ± 0.078,2.284 ± 0.328,0.802 ± 0.442,0.194 ± 0.018,0.002 ± 0.002,0.000,0.083,0.055,0.068,0.009,0.005,69.692,17.452,7.196,8.367,4.034,0.885,0.292,3749.932
Total,470.333,470.333 ± 36.237,167.025 ± 35.912,95.998 ± 1.802,83.204 ± 3.851,76.076 ± 1.648,17.450 ± 0.419,8.957 ± 0.947,8.583 ± 0.173,6.507 ± 0.548,5.462 ± 1.099,1.068 ± 0.042,0.002 ± 0.002,78.328,0.248,0.055,0.118,0.012,0.005,69.692,87.036,31.239,17.696,5.864,1.142,0.294,3759.262
