nbin,nData,TotalBkg,t#bar{t}+x,W+jets/#gamma,WWss,VV,DY,Z#gamma,Single t,VVV,multi-top,QCD,Higgs,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.096 ± 0.022,0.003 ± 0.002,0.000 ± 0.000,0.033 ± 0.006,0.016 ± 0.009,0.000 ± 0.000,0.036 ± 0.018,0.000 ± 0.000,0.008 ± 0.005,0.001 ± 0.001,0.000 ± 0.000,0.000 ± 0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000
5,12,12.791 ± 1.572,4.158 ± 0.406,2.105 ± 0.368,0.919 ± 0.032,0.821 ± 0.086,3.050 ± 1.460,0.996 ± 0.148,0.336 ± 0.089,0.269 ± 0.033,0.133 ± 0.012,0.000 ± 0.000,0.002 ± 0.001,1.225,0.275,0.048,0.004,0.000,0.000,0.000,5.750,0.695,0.172,0.023,0.005,0.000,0.000
6,11,11.711 ± 0.579,4.303 ± 0.383,3.237 ± 0.382,1.125 ± 0.035,1.323 ± 0.122,0.000 ± 0.000,0.574 ± 0.084,0.452 ± 0.121,0.442 ± 0.042,0.196 ± 0.016,0.054 ± 0.054,0.003 ± 0.003,6.856,0.434,0.118,0.028,0.001,0.000,0.000,7.951,0.757,0.476,0.107,0.024,0.001,1.166
7,10,10.679 ± 0.904,2.894 ± 0.333,3.453 ± 0.318,1.382 ± 0.039,0.972 ± 0.099,0.000 ± 0.000,0.393 ± 0.069,0.949 ± 0.765,0.415 ± 0.040,0.191 ± 0.013,0.030 ± 0.024,0.000 ± 0.000,0.000,0.277,0.260,0.070,0.016,0.004,45.711,0.967,0.446,0.564,0.376,0.054,0.023,299.361
Total,35.277,35.277 ± 1.904,11.358 ± 0.650,8.796 ± 0.618,3.459 ± 0.062,3.132 ± 0.179,3.050 ± 1.460,1.998 ± 0.184,1.738 ± 0.780,1.134 ± 0.067,0.522 ± 0.024,0.084 ± 0.059,0.006 ± 0.003,8.081,1.009,0.427,0.102,0.017,0.004,45.711,14.668,1.898,1.219,0.506,0.082,0.024,300.528
