nbin,nData,TotalBkg,VV,t#bar{t}+x,WWss,multi-top,VVV,Single t,W+jets/#gamma,Higgs,QCD,Z#gamma,DY,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,1,1.395 ± 0.189,0.496 ± 0.121,0.644 ± 0.139,0.155 ± 0.039,0.077 ± 0.016,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.023 ± 0.006,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,70,70.866 ± 1.628,22.896 ± 0.832,28.745 ± 0.991,8.352 ± 0.288,3.067 ± 0.101,2.794 ± 0.362,2.448 ± 0.675,1.555 ± 0.519,0.783 ± 0.036,0.132 ± 0.132,0.093 ± 0.093,0.000 ± 0.000,58.442,6.608,1.471,0.140,0.010,0.000,8.726,33.659,0.802,0.051,0.015,0.002,0.000,0.000
6,71,71.444 ± 1.529,26.013 ± 0.884,26.287 ± 0.913,9.758 ± 0.314,3.282 ± 0.099,2.616 ± 0.358,1.391 ± 0.487,1.406 ± 0.500,0.691 ± 0.034,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,72.856,7.112,3.528,0.832,0.028,0.001,16.677,24.927,0.562,0.159,0.052,0.008,0.001,0.000
7,42,42.975 ± 1.136,17.340 ± 0.722,9.445 ± 0.505,9.637 ± 0.314,2.074 ± 0.070,2.775 ± 0.366,0.939 ± 0.435,0.511 ± 0.295,0.254 ± 0.021,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,17.864,4.714,4.184,2.421,0.529,0.113,1306.566,17.382,0.000,0.374,0.083,0.030,0.011,121.806
Total,186.680,186.680 ± 2.513,66.745 ± 1.417,65.121 ± 1.446,27.902 ± 0.531,8.501 ± 0.158,8.185 ± 0.627,4.779 ± 0.939,3.472 ± 0.779,1.751 ± 0.054,0.132 ± 0.132,0.093 ± 0.093,0.000 ± 0.000,149.163,18.517,9.182,3.393,0.567,0.114,1331.970,75.967,1.365,0.585,0.150,0.040,0.013,121.806
