nbin,nData,TotalBkg,VV,t#bar{t}+x,W+jets/#gamma,DY,WWss,multi-top,Single t,VVV,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,5,5.691 ± 1.065,1.051 ± 0.147,1.041 ± 0.178,1.495 ± 0.328,1.384 ± 0.979,0.298 ± 0.044,0.128 ± 0.022,0.000 ± 0.000,0.167 ± 0.094,0.096 ± 0.068,0.030 ± 0.008,0.000 ± 0.000,0.000,0.111,0.036,0.000,0.000,0.000,0.000,0.000,0.281,0.037,0.000,0.000,0.000,0.000
5,187,187.717 ± 5.619,40.475 ± 0.827,50.024 ± 1.290,35.481 ± 1.564,35.224 ± 5.017,8.989 ± 0.246,5.018 ± 0.139,5.201 ± 1.103,2.926 ± 0.399,3.355 ± 0.385,1.025 ± 0.046,0.000 ± 0.000,60.723,5.192,1.238,0.088,0.002,0.000,3.888,75.487,8.078,1.746,0.215,0.039,0.001,0.000
6,191,191.492 ± 5.649,48.230 ± 0.919,43.905 ± 1.202,40.736 ± 1.687,30.665 ± 5.065,11.594 ± 0.281,5.124 ± 0.134,3.216 ± 0.823,3.444 ± 0.425,3.673 ± 0.401,0.905 ± 0.043,0.000 ± 0.000,50.770,4.783,3.030,0.480,0.032,0.002,12.040,100.283,9.127,4.640,0.995,0.177,0.001,5.593
7,138,138.900 ± 5.625,33.297 ± 0.794,19.466 ± 0.805,29.032 ± 1.422,32.485 ± 5.210,11.284 ± 0.279,3.178 ± 0.094,2.964 ± 0.874,4.506 ± 0.491,2.185 ± 0.307,0.414 ± 0.029,0.088 ± 0.088,19.980,3.466,3.042,1.973,0.426,0.095,1279.557,66.686,5.798,5.549,3.144,0.551,0.188,2818.001
Total,523.800,523.800 ± 9.811,123.052 ± 1.477,114.436 ± 1.947,106.745 ± 2.724,99.758 ± 8.884,32.166 ± 0.469,13.449 ± 0.216,11.380 ± 1.631,11.044 ± 0.768,9.309 ± 0.639,2.374 ± 0.070,0.088 ± 0.088,131.473,13.551,7.346,2.541,0.459,0.098,1295.485,242.456,23.283,11.972,4.354,0.767,0.190,2823.595
