nbin,nData,TotalBkg,t#bar{t}+x,VV,W+jets/#gamma,DY,WWss,multi-top,Single t,VVV,Z#gamma,Higgs,QCD,VLLD-mu_100,VLLD-mu_200,VLLD-mu_300,VLLD-mu_400,VLLD-mu_600,VLLD-mu_800,VLLD-mu_1000,VLLD-ele_100,VLLD-ele_200,VLLD-ele_300,VLLD-ele_400,VLLD-ele_600,VLLD-ele_800,VLLD-ele_1000
1,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,4,4.439 ± 0.891,1.171 ± 0.212,0.782 ± 0.094,0.958 ± 0.245,0.813 ± 0.813,0.239 ± 0.038,0.128 ± 0.024,0.000 ± 0.000,0.224 ± 0.120,0.105 ± 0.063,0.019 ± 0.005,0.000 ± 0.000,0.000,0.160,0.000,0.000,0.000,0.000,0.000,8.938,0.068,0.030,0.000,0.000,0.000,0.000
5,159,159.585 ± 4.247,54.284 ± 1.434,35.817 ± 0.763,28.054 ± 1.336,18.003 ± 3.520,8.131 ± 0.230,4.630 ± 0.176,3.722 ± 0.933,3.571 ± 0.444,2.517 ± 0.277,0.832 ± 0.038,0.024 ± 0.024,45.085,4.845,0.799,0.115,0.004,0.000,0.000,44.507,8.121,1.825,0.292,0.035,0.000,0.000
6,166,166.277 ± 4.472,46.274 ± 1.316,41.771 ± 0.843,32.977 ± 1.435,18.743 ± 3.768,10.040 ± 0.257,4.934 ± 0.200,4.496 ± 0.956,3.266 ± 0.406,2.819 ± 0.287,0.762 ± 0.037,0.193 ± 0.169,42.166,4.871,2.472,0.385,0.020,0.003,4.543,75.971,7.146,3.919,0.904,0.135,0.002,18.682
7,113,113.530 ± 5.766,18.788 ± 0.809,28.474 ± 0.692,24.229 ± 1.251,20.880 ± 5.445,9.179 ± 0.244,3.240 ± 0.208,2.951 ± 0.744,3.336 ± 0.414,2.101 ± 0.262,0.327 ± 0.024,0.026 ± 0.020,7.755,3.283,2.823,1.930,0.326,0.091,1041.248,24.851,4.031,4.990,2.859,0.495,0.177,2380.000
Total,443.830,443.830 ± 8.490,120.517 ± 2.118,106.843 ± 1.334,86.217 ± 2.339,58.438 ± 7.543,27.590 ± 0.424,12.933 ± 0.339,11.168 ± 1.529,10.397 ± 0.740,7.543 ± 0.482,1.941 ± 0.058,0.242 ± 0.172,95.006,13.159,6.094,2.430,0.351,0.095,1045.791,154.268,19.367,10.764,4.055,0.665,0.179,2398.682
